report_date,asset,label,symbol,amount_krw,buy_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2020-04-06,cash,KODEX 단기채권,153130.KS,650000,2020-04-06,99998.9844,6.500066016295478,113255.0,736165,86165,0.13256150257776067
2020-04-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-04-06,11582.5186,21.584252062244598,25465.0,549643,299643,1.1985719150602345
2020-04-06,silver,KODEX 은선물(H),144600.KS,100000,2020-04-06,3170.0625,31.545119378561147,12585.0,396995,296995,2.9699532737919205
2020-04-06,equity,KODEX 미국S&P500선물(H),219480.KS,500000,2020-04-06,12245.9814,40.829720527740086,32615.0,1331661,831661,1.6633226700244856
2020-05-06,cash,KODEX 단기채권,153130.KS,550000,2020-05-06,100096.8906,5.494676173913369,113255.0,622300,72300,0.13145372741192474
2020-05-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-05-06,12015.3711,20.806681545611333,25465.0,529842,279842,1.1193685822359707
2020-05-06,silver,KODEX 은선물(H),144600.KS,100000,2020-05-06,3289.6875,30.39802412843165,12585.0,382559,282559,2.825591336563123
2020-05-06,equity,KODEX 미국S&P500선물(H),219480.KS,600000,2020-05-06,13629.792,44.021214729022695,32615.0,1435752,835752,1.3929198639784586
2020-06-06,cash,KODEX 단기채권,153130.KS,550000,2020-06-05,100214.3672,5.48823502493366,113255.0,621570,71570,0.130127377725203
2020-06-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-06-05,11960.6426,20.901887032159024,25465.0,532267,282267,1.1290662130957179
2020-06-06,silver,KODEX 은선물(H),144600.KS,100000,2020-06-05,3842.9531,26.02165489593371,12585.0,327483,227483,2.2748252686532577
2020-06-06,equity,KODEX 미국S&P500선물(H),219480.KS,600000,2020-06-05,14844.9668,40.41773944056954,32615.0,1318225,718225,1.1970409530902923
2020-07-06,cash,KODEX 단기채권,153130.KS,600000,2020-07-06,100263.3203,5.984242274541919,113255.0,677745,77745,0.1295755980054083
2020-07-06,gold,KODEX 골드선물(H),132030.KS,200000,2020-07-06,12448.2227,16.066550665334063,25465.0,409135,209135,1.0456735634636596
2020-07-06,silver,KODEX 은선물(H),144600.KS,100000,2020-07-06,3877.8438,25.78752689558469,12585.0,324536,224536,2.2453602598093334
2020-07-06,equity,KODEX 미국S&P500선물(H),219480.KS,600000,2020-07-06,15018.5635,39.950558582805954,32615.0,1302987,702987,1.1716457802970268
2020-08-06,cash,KODEX 단기채권,153130.KS,550000,2020-08-06,100307.375,5.483146179430974,113255.0,620994,70994,0.12907949191173618
2020-08-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-08-06,14174.6543,17.63711444131064,25465.0,449129,199129,0.796516476991902
2020-08-06,silver,KODEX 은선물(H),144600.KS,100000,2020-08-06,5871.5938,17.03115103969855,12585.0,214337,114337,1.1433703583460626
2020-08-06,equity,KODEX 미국S&P500선물(H),219480.KS,600000,2020-08-06,15767.5068,38.052940534166915,32615.0,1241097,641097,1.0684944258697562
2020-09-06,cash,KODEX 단기채권,153130.KS,550000,2020-09-04,100317.1875,5.48260984689189,113255.0,620933,70933,0.128969051290438
2020-09-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-09-04,13333.8271,18.74930559822772,25465.0,477451,227451,0.9098042682354757
2020-09-06,silver,KODEX 은선물(H),144600.KS,100000,2020-09-04,5582.5,17.913121361397224,12585.0,225437,125437,1.2543663233318405
2020-09-06,equity,KODEX 미국S&P500선물(H),219480.KS,600000,2020-09-04,16347.8154,36.70215158597918,32615.0,1197041,597041,0.9950677899611851
2020-10-06,cash,KODEX 단기채권,153130.KS,550000,2020-10-06,100346.5391,5.481006172593926,113255.0,620751,70751,0.1286388255947728
2020-10-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-10-06,13124.8643,19.0478160451213,25465.0,485053,235053,0.9402105423560556
2020-10-06,silver,KODEX 은선물(H),144600.KS,100000,2020-10-06,5108.9844,19.573361877819405,12585.0,246331,146331,1.4633075923235719
2020-10-06,equity,KODEX 미국S&P500선물(H),219480.KS,600000,2020-10-06,16119.6602,37.22162838323641,32615.0,1213983,613983,1.0233056828654257
2020-11-06,cash,KODEX 단기채권,153130.KS,550000,2020-11-06,100410.1719,5.4775327014148685,113255.0,620358,70358,0.1279235747249836
2020-11-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-11-06,13284.0742,18.81952749459453,25465.0,479239,229239,0.916957070599399
2020-11-06,silver,KODEX 은선물(H),144600.KS,150000,2020-11-06,5248.5469,28.57933892416651,12585.0,359671,209671,1.3978065357375704
2020-11-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2020-11-06,16541.25,33.25020781379884,32615.0,1084456,534456,0.9717373233582711
2020-12-06,cash,KODEX 단기채권,153130.KS,550000,2020-12-04,100434.6641,5.476196939910484,113255.0,620207,70207,0.1276485171446582
2020-12-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-12-04,12587.5312,19.860923880526613,25465.0,505758,255758,1.0230337064704407
2020-12-06,silver,KODEX 은선물(H),144600.KS,100000,2020-12-04,5024.25,19.903468179330247,12585.0,250485,150485,1.5048514703687115
2020-12-06,equity,KODEX 미국S&P500선물(H),219480.KS,600000,2020-12-04,17438.9922,34.40565793876958,32615.0,1122141,522141,0.8702342227882829
2021-01-06,cash,KODEX 단기채권,153130.KS,550000,2021-01-06,100483.5938,5.473530349326305,113255.0,619905,69905,0.12709941765991029
2021-01-06,gold,KODEX 골드선물(H),132030.KS,250000,2021-01-06,13284.0742,18.81952749459453,25465.0,479239,229239,0.916957070599399
2021-01-06,silver,KODEX 은선물(H),144600.KS,150000,2021-01-06,5687.1719,26.37514801678119,12585.0,331931,181931,1.212874918607942
2021-01-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2021-01-06,17607.6289,31.236460225758854,32615.0,1018777,468777,0.8523220913875
2021-02-06,cash,KODEX 단기채권,153130.KS,550000,2021-02-05,100542.3516,5.470331571249398,113255.0,619542,69542,0.1264407310942739
2021-02-06,gold,KODEX 골드선물(H),132030.KS,250000,2021-02-05,12224.334,20.451011917667422,25465.0,520785,270785,1.083140073933604
2021-02-06,silver,KODEX 은선물(H),144600.KS,150000,2021-02-05,5492.7812,27.30856977055112,12585.0,343678,193678,1.2911890037492393
2021-02-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2021-02-05,18445.8516,29.817002383242507,32615.0,972482,422482,0.7681482413262806
2021-03-06,cash,KODEX 단기채권,153130.KS,550000,2021-03-05,100581.5156,5.468201553559559,113255.0,619301,69301,0.12600212172434166
2021-03-06,gold,KODEX 골드선물(H),132030.KS,250000,2021-03-05,11507.8896,21.724226390539304,25465.0,553207,303207,1.2128297001403334
2021-03-06,silver,KODEX 은선물(H),144600.KS,150000,2021-03-05,5228.6094,28.688316384315858,12585.0,361042,211042,1.4069497446441006
2021-03-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2021-03-05,17895.3027,30.73432219414247,32615.0,1002400,452400,0.8225453061126486
2021-04-06,cash,KODEX 단기채권,153130.KS,500000,2021-04-06,100625.5625,4.968916322828009,113255.0,562755,62755,0.12550923628377242
2021-04-06,gold,KODEX 골드선물(H),132030.KS,300000,2021-04-06,11756.6543,25.517463763457098,25465.0,649802,349802,1.1660073824547834
2021-04-06,silver,KODEX 은선물(H),144600.KS,150000,2021-04-06,5183.75,28.93658066071859,12585.0,364167,214167,1.42777911743429
2021-04-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2021-04-06,19353.5117,28.41861508095975,32615.0,926873,376873,0.6852238743009134
2021-05-06,cash,KODEX 단기채권,153130.KS,500000,2021-05-06,100679.3984,4.966259311833207,113255.0,562454,62454,0.12490739672333984
2021-05-06,gold,KODEX 골드선물(H),132030.KS,300000,2021-05-06,12144.7285,24.70207544071735,25465.0,629038,329038,1.0967945036595577
2021-05-06,silver,KODEX 은선물(H),144600.KS,150000,2021-05-06,5512.7188,27.20980459959072,12585.0,342435,192435,1.2829026059056612
2021-05-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2021-05-06,19839.582,27.722358219728434,32615.0,904165,354165,0.643935842429896
2021-06-06,cash,KODEX 단기채권,153130.KS,550000,2021-06-04,100698.9922,5.4618222889054175,113255.0,618579,68579,0.12468851514542378
2021-06-06,gold,KODEX 골드선물(H),132030.KS,300000,2021-06-04,12662.1611,23.692637998626104,25465.0,603333,303333,1.0111100887833793
2021-06-06,silver,KODEX 은선물(H),144600.KS,150000,2021-06-04,5657.2656,26.514576112024084,12585.0,333686,183686,1.2245729357988204
2021-06-06,equity,KODEX 미국S&P500선물(H),219480.KS,500000,2021-06-04,19943.7383,25.070525542850326,32615.0,817675,317675,0.6353503811601269
2021-07-06,cash,KODEX 단기채권,153130.KS,500000,2021-07-06,100640.25,4.968191156122923,113255.0,562672,62672,0.12534497877340312
2021-07-06,gold,KODEX 골드선물(H),132030.KS,400000,2021-07-06,12199.457,32.78834451200281,25465.0,834955,434955,1.087387982495379
2021-07-06,silver,KODEX 은선물(H),144600.KS,150000,2021-07-06,5497.7656,27.28381132107646,12585.0,343367,193367,1.289111769838315
2021-07-06,equity,KODEX 미국S&P500선물(H),219480.KS,450000,2021-07-06,20717.4824,21.720785896497627,32615.0,708423,258423,0.5742742933650447
2021-08-06,cash,KODEX 단기채권,153130.KS,500000,2021-08-06,100694.1016,4.965534149879217,113255.0,562372,62372,0.12474314028914146
2021-08-06,gold,KODEX 골드선물(H),132030.KS,350000,2021-08-06,12139.7529,28.8308997742518,25465.0,734179,384179,1.097653893575206
2021-08-06,silver,KODEX 은선물(H),144600.KS,150000,2021-08-06,5168.7969,29.020293044500807,12585.0,365220,215220,1.4348025864336176
2021-08-06,equity,KODEX 미국S&P500선물(H),219480.KS,500000,2021-08-06,21074.5957,23.725247546545276,32615.0,773799,273799,0.5475978974611484
2021-09-06,cash,KODEX 단기채권,153130.KS,500000,2021-09-06,100733.2656,4.963603601032368,113255.0,562153,62153,0.12430585166984165
2021-09-06,gold,KODEX 골드선물(H),132030.KS,350000,2021-09-06,12318.8643,28.411710095598586,25465.0,723504,373504,1.0671548502411943
2021-09-06,silver,KODEX 은선물(H),144600.KS,150000,2021-09-06,5084.0625,29.503964595242486,12585.0,371307,221307,1.4753826295408445
2021-09-06,equity,KODEX 미국S&P500선물(H),219480.KS,500000,2021-09-06,21669.7832,23.07360416637186,32615.0,752546,252546,0.5050911997724365
2021-10-06,cash,KODEX 단기채권,153130.KS,500000,2021-10-06,100787.1094,4.960951882642482,113255.0,561853,61853,0.12370521093734865
2021-10-06,gold,KODEX 골드선물(H),132030.KS,400000,2021-10-06,11796.457,33.90848616159579,25465.0,863480,463480,1.1586990002625916
2021-10-06,silver,KODEX 은선물(H),144600.KS,150000,2021-10-06,4585.625,32.71091726863841,12585.0,411667,261667,1.7444459588387629
2021-10-06,equity,KODEX 미국S&P500선물(H),219480.KS,450000,2021-10-06,20613.3242,21.830540053829715,32615.0,712003,262003,0.582229030790347
2021-11-06,cash,KODEX 단기채권,153130.KS,500000,2021-11-05,100787.1094,4.960951882642482,113255.0,561853,61853,0.12370521093734865
2021-11-06,gold,KODEX 골드선물(H),132030.KS,400000,2021-11-05,12090.0,33.085194375516956,25465.0,842514,442514,1.106286186931348
2021-11-06,silver,KODEX 은선물(H),144600.KS,150000,2021-11-05,4879.7031,30.73957496133538,12585.0,386858,236858,1.5790503392560384
2021-11-06,equity,KODEX 미국S&P500선물(H),219480.KS,450000,2021-11-05,22344.3281,20.139339052066486,32615.0,656845,206845,0.4596545404069967
2021-12-06,cash,KODEX 단기채권,153130.KS,550000,2021-12-06,100855.6328,5.453339438388148,113255.0,617618,67618,0.1229417419902723
2021-12-06,gold,KODEX 골드선물(H),132030.KS,350000,2021-12-06,11990.4941,29.189789502849994,25465.0,743318,393318,1.1237656848287858
2021-12-06,silver,KODEX 은선물(H),144600.KS,150000,2021-12-06,4585.625,32.71091726863841,12585.0,411667,261667,1.7444459588387629
2021-12-06,equity,KODEX 미국S&P500선물(H),219480.KS,450000,2021-12-06,21838.4199,20.605886396993686,32615.0,672061,222061,0.49346885519544226
2022-01-06,cash,KODEX 단기채권,153130.KS,500000,2022-01-06,100963.3359,4.95229278388264,113255.0,560872,60872,0.12174383847725667
2022-01-06,gold,KODEX 골드선물(H),132030.KS,400000,2022-01-06,12109.9014,33.030822289256946,25465.0,841130,441130,1.1028247239898201
2022-01-06,silver,KODEX 은선물(H),144600.KS,150000,2022-01-06,4605.5625,32.56931156617677,12585.0,409885,259885,1.7325652404022311
2022-01-06,equity,KODEX 미국S&P500선물(H),219480.KS,450000,2022-01-06,22384.0078,20.103638444439092,32615.0,655680,205680,0.4570670397008467
2022-02-06,cash,KODEX 단기채권,153130.KS,550000,2022-02-04,101012.2969,5.444881633377867,113255.0,616660,66660,0.12120012616038234
2022-02-06,gold,KODEX 골드선물(H),132030.KS,400000,2022-02-04,12124.8271,32.99016102275298,25465.0,840094,440094,1.1002361261110116
2022-02-06,silver,KODEX 은선물(H),144600.KS,150000,2022-02-04,4580.6406,32.746511302663045,12585.0,412115,262115,1.7474322982934294
2022-02-06,equity,KODEX 미국S&P500선물(H),219480.KS,400000,2022-02-04,21669.7832,18.45888333309749,32615.0,602036,202036,0.5050911997724365
2022-03-06,cash,KODEX 단기채권,153130.KS,550000,2022-03-04,101115.0859,5.439346610850523,113255.0,616033,66033,0.12006036438522893
2022-03-06,gold,KODEX 골드선물(H),132030.KS,450000,2022-03-04,13005.457,34.600860155757935,25465.0,881111,431111,0.9580242308141684
2022-03-06,silver,KODEX 은선물(H),144600.KS,200000,2022-03-04,5123.9375,39.03248234390056,12585.0,491224,291224,1.4561189514899429
2022-03-06,equity,KODEX 미국S&P500선물(H),219480.KS,300000,2022-03-04,20836.5195,14.397798036762753,32615.0,469584,169584,0.565280609896724
2022-04-06,cash,KODEX 단기채권,153130.KS,550000,2022-04-06,101124.8828,5.438819652525864,113255.0,615974,65974,0.11995185408512121
2022-04-06,gold,KODEX 골드선물(H),132030.KS,450000,2022-04-06,12891.0254,34.90800664524814,25465.0,888932,438932,0.9754053093805419
2022-04-06,silver,KODEX 은선물(H),144600.KS,200000,2022-04-06,4949.4844,40.408249596706725,12585.0,508538,308538,1.5426891058727707
2022-04-06,equity,KODEX 미국S&P500선물(H),219480.KS,300000,2022-04-06,21714.4219,13.815702841501508,32615.0,450599,150599,0.5019971605852389
2022-05-06,cash,KODEX 단기채권,153130.KS,550000,2022-05-06,101213.0,5.434084554355666,113255.0,615437,65437,0.11897681127918358
2022-05-06,gold,KODEX 골드선물(H),132030.KS,450000,2022-05-06,12582.5557,35.76379966156331,25465.0,910725,460725,1.0238336852926881
2022-05-06,silver,KODEX 은선물(H),144600.KS,200000,2022-05-06,4545.75,43.997140185887915,12585.0,553704,353704,1.7685200461969974
2022-05-06,equity,KODEX 미국S&P500선물(H),219480.KS,300000,2022-05-06,19864.3809,15.102408785039726,32615.0,492565,192565,0.6418835417469022
2022-06-06,cash,KODEX 단기채권,153130.KS,550000,2022-06-03,101286.4141,5.430145840296171,113255.0,614991,64991,0.11816575844135047
2022-06-06,gold,KODEX 골드선물(H),132030.KS,450000,2022-06-03,12488.0254,36.03451994402763,25465.0,917619,467619,1.0391534452770301
2022-06-06,silver,KODEX 은선물(H),144600.KS,200000,2022-06-03,4535.7812,44.093837197285474,12585.0,554921,354921,1.774604705639188
2022-06-06,equity,KODEX 미국S&P500선물(H),219480.KS,300000,2022-06-03,20013.1777,14.990123206906544,32615.0,488903,188903,0.629676227977523
2022-07-06,cash,KODEX 단기채권,153130.KS,550000,2022-07-06,101227.6562,5.433297780220018,113255.0,615348,65348,0.11881480017966939
2022-07-06,gold,KODEX 골드선물(H),132030.KS,450000,2022-07-06,11776.5557,38.211512163376106,25465.0,973056,523056,1.1623470160897167
2022-07-06,silver,KODEX 은선물(H),144600.KS,200000,2022-07-06,3808.0625,52.52014639990809,12585.0,660966,460966,2.304830212214217
2022-07-06,equity,KODEX 미국S&P500선물(H),219480.KS,300000,2022-07-06,18202.8164,16.480966093631203,32615.0,537527,237527,0.791755697145939
2022-08-06,cash,KODEX 단기채권,153130.KS,550000,2022-08-05,101399.0234,5.424115354907803,113255.0,614308,64308,0.11692397185469683
