date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2022-01-06,1500000,500000,400000,150000,450000,1500000,0,0.0
2022-02-06,3000000,1050242,800493,299188,835641,2985565,-14435,-0.004811599766514685
2022-03-06,4500000,1601311,1308633,534674,1103509,4548127,48127,0.010694911393812845
2022-04-06,6000000,2151466,1747119,716470,1450003,6065058,65058,0.010842984049657778
2022-05-06,7500000,2703341,2155312,858027,1626464,7343144,-156856,-0.020914107488779643
2022-06-06,9000000,3255302,2589119,1056145,1938648,8839215,-160785,-0.01786504005339662
2022-07-06,10500000,3803414,2891612,1086698,2063281,9845004,-654996,-0.06238053579507097
2022-08-06,12000000,4359852,3374596,1360662,2550494,11645603,-354397,-0.029533072323242537
2022-09-06,13500000,4913641,3682226,1418926,2716056,12730848,-769152,-0.0569741962861644
2022-10-06,15000000,5520751,4183832,1766916,2855752,14327250,-672750,-0.04484997489812714
2022-11-06,16500000,6125006,4486860,1823585,3054728,15490179,-1009821,-0.06120127536703768
2022-12-06,18000000,6698293,5257056,2259334,3565901,17780584,-219416,-0.012189790812108248
2023-01-06,19500000,7270131,5843365,2558227,3747874,19419597,-80403,-0.00412322062370829
2023-02-06,21000000,7844452,6401799,2659199,4342349,21247799,247799,0.011799970396688453
2023-03-06,22500000,8405287,6748126,2689653,4562714,22405780,-94220,-0.004187546223193617
2023-04-06,24000000,8997664,7703528,3352389,4937575,24991156,991156,0.041298178070367175
2023-05-06,25500000,9569383,8223826,3641239,5243947,26678395,1178395,0.04621158364549971
2023-06-06,27000000,10135194,8202409,3504958,5819653,27662214,662214,0.024526437689082137
2023-07-06,28500000,10758127,8416731,3551568,6269206,28995632,495632,0.017390611664281908
2023-08-06,30000000,11393036,8898812,3869412,6715704,30876964,876964,0.029232132962915713
2023-09-06,31500000,11972942,9280773,4065127,6961953,32280795,780795,0.024787142307873378
2023-10-06,33000000,12555968,9185066,3791914,6857189,32390137,-609863,-0.018480705239580453
2023-11-06,34500000,13142850,10404243,4391563,7367864,35306520,806520,0.023377391711891127
2023-12-06,36000000,13740507,10927098,4771014,8125192,37563811,1563811,0.043439202442249636
2024-01-06,37500000,14340786,11323867,4721277,8694984,39080914,1580914,0.04215771537295976
2024-02-06,39000000,14929837,11542246,4769153,9544931,40786168,1786168,0.04579917024225155
2024-03-06,40500000,15516255,12421624,5218669,10193312,43349860,2849860,0.070366919822906
2024-04-06,42000000,16113272,13664320,6061420,10673661,46512674,4512674,0.10744461428924379
2024-05-06,43500000,16699415,14179429,6224832,10819263,47922938,4422938,0.1016767470144826
2024-06-06,45000000,17305854,14702814,7098979,11628866,50736514,5736514,0.12747809052333192
2024-07-06,46500000,17912571,15205017,7493472,12524272,53135332,6635332,0.14269531839426275
2024-08-06,48000000,18520275,15762736,6767612,12266662,53317284,5317284,0.11077674605228638
2024-09-06,49500000,19073878,16792530,7356889,13257328,56480624,6980624,0.14102271258263022
2024-10-06,51000000,19627202,18048329,8376656,14193324,60245511,9245511,0.18128453604694217
2024-11-06,52500000,20225749,18802108,8512055,14969070,62508982,10008982,0.19064727082693866
2024-12-06,54000000,20831998,18525772,8492990,15890395,63741154,9741154,0.1803917452360546
2025-01-06,55500000,21433252,18816323,8206607,15838582,64294764,8794764,0.15846421583751402
2025-02-06,57000000,22033944,20737782,9142901,16531232,68445858,11445858,0.20080452510004654
2025-03-06,58500000,22581027,21411063,9405631,16320830,69718551,11218551,0.19177009687752467
2025-04-06,60000000,23184192,22953947,9106981,15481114,70726233,10726233,0.1787705553539709
2025-05-06,61500000,23794813,24335515,9533937,16635653,74299918,12799918,0.2081287493374211
2025-06-06,63000000,24399505,25361326,10221876,18094576,78077284,15077284,0.23932196508371972
2025-07-06,64500000,24941468,25476558,10993420,19429084,80840531,16340531,0.2533415697067747
2025-08-06,66000000,25496375,26032431,11373337,20099697,83001839,17001839,0.25760362806409876
2025-09-06,67500000,26096647,27725786,12463924,21113875,87400231,19900231,0.2948182354452391
2025-10-06,69000000,26640310,30341137,14480670,22176822,93638939,24638939,0.3570860772565063
2025-11-06,70500000,27167061,31459521,14866660,22816750,96309992,25809992,0.36609917024038885
2025-12-06,72000000,27708278,33633849,18181836,23502288,103026251,31026251,0.43092014781881227
2026-01-06,73500000,28272594,35701511,24471478,24067379,112512963,39012963,0.5307886082818916
2026-02-06,75000000,28863752,38823368,22651666,24066814,114405599,39405599,0.5254079925107613
2026-03-06,76500000,29469821,41222224,25830692,24604965,121127701,44627701,0.5833686455682408
2026-04-06,78000000,30059636,37857420,22290593,23893010,114100659,36100659,0.4628289587558463
2026-05-27,78000000,30150764,36385147,23563272,27272834,117372017,39372017,0.504769447578115
