report_date,asset,label,symbol,amount_krw,buy_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2022-01-06,cash,KODEX 단기채권,153130.KS,500000,2022-01-06,100963.3438,4.95229240067636,113260.0,560897,60897,0.12179327460120892
2022-01-06,gold,KODEX 골드선물(H),132030.KS,400000,2022-01-06,12109.9014,33.030822289256946,25455.0,840800,440800,1.101998953432589
2022-01-06,silver,KODEX 은선물(H),144600.KS,150000,2022-01-06,4605.5625,32.56931156617677,12590.0,410048,260048,1.7336508841211038
2022-01-06,equity,KODEX 미국S&P500선물(H),219480.KS,450000,2022-01-06,22384.0078,20.103638444439092,32600.0,655379,205379,0.45639691841936547
2022-02-06,cash,KODEX 단기채권,153130.KS,550000,2022-02-04,101012.2891,5.444882054496309,113260.0,616687,66687,0.1212497118040945
2022-02-06,gold,KODEX 골드선물(H),132030.KS,400000,2022-02-04,12124.8271,32.99016102275298,25455.0,839765,439765,1.0994113720854428
2022-02-06,silver,KODEX 은선물(H),144600.KS,150000,2022-02-04,4580.6406,32.746511302663045,12590.0,412279,262279,1.7485238486701848
2022-02-06,equity,KODEX 미국S&P500선물(H),219480.KS,400000,2022-02-04,21669.7832,18.45888333309749,32600.0,601760,201760,0.5043989916474454
2022-03-06,cash,KODEX 단기채권,153130.KS,550000,2022-03-04,101115.0781,5.439347031113219,113260.0,616060,66060,0.12010989953433304
2022-03-06,gold,KODEX 골드선물(H),132030.KS,450000,2022-03-04,13005.457,34.600860155757935,25455.0,880765,430765,0.9572553228107072
2022-03-06,silver,KODEX 은선물(H),144600.KS,200000,2022-03-04,5123.9375,39.03248234390056,12590.0,491419,291419,1.4570947635485405
2022-03-06,equity,KODEX 미국S&P500선물(H),219480.KS,300000,2022-03-04,20836.5195,14.397798036762753,32600.0,469368,169368,0.5645607199948857
2022-04-06,cash,KODEX 단기채권,153130.KS,550000,2022-04-06,101124.8672,5.438820492888472,113260.0,616001,66001,0.12000147095372427
2022-04-06,gold,KODEX 골드선물(H),132030.KS,450000,2022-04-06,12891.0254,34.90800664524814,25455.0,888583,438583,0.9746295758995367
2022-04-06,silver,KODEX 은선물(H),144600.KS,200000,2022-04-06,4949.4844,40.408249596706725,12590.0,508740,308740,1.5436993121126883
2022-04-06,equity,KODEX 미국S&P500선물(H),219480.KS,300000,2022-04-06,21714.4219,13.815702841501508,32600.0,450392,150392,0.5013063754431639
2022-05-06,cash,KODEX 단기채권,153130.KS,550000,2022-05-06,101212.9844,5.434085393255652,113260.0,615465,65465,0.11902638480024552
2022-05-06,gold,KODEX 골드선물(H),132030.KS,450000,2022-05-06,12582.5557,35.76379966156331,25455.0,910368,460368,1.0230389341890982
2022-05-06,silver,KODEX 은선물(H),144600.KS,200000,2022-05-06,4545.75,43.997140185887915,12590.0,553924,353924,1.7696199747016443
2022-05-06,equity,KODEX 미국S&P500선물(H),219480.KS,300000,2022-05-06,19864.3809,15.102408785039726,32600.0,492339,192339,0.6411284213076502
