date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2022-01-06,1500000,500000,400000,150000,450000,1500000,0,0.0
2022-02-06,3000000,1050242,800981,299188,824183,2974595,-25405,-0.008468249850481002
2022-03-06,4500000,1601311,1305086,534674,1088489,4529560,29560,0.0065689499957770625
2022-04-06,6000000,2151466,1756881,716470,1458892,6083710,83710,0.013951598618617389
2022-05-06,7500000,2703341,2241472,858027,1621103,7423943,-76057,-0.010140951263569509
2022-06-06,9000000,3255302,2630075,1056145,1887319,8828841,-171159,-0.019017630139676056
2022-07-06,10500000,3803414,3063076,1086698,2107243,10060431,-439569,-0.04186371050550042
2022-08-06,12000000,4359852,3521616,1360662,2678288,11920417,-79583,-0.006631890408546504
2022-09-06,13500000,4913640,3999358,1418926,2889399,13221323,-278677,-0.020642749994588483
2022-10-06,15000000,5520750,4600491,1766916,3062208,14950365,-49635,-0.00330898146058467
2022-11-06,16500000,6125005,4976711,1823585,3134714,16060016,-439984,-0.026665710332494652
2022-12-06,18000000,6698294,5410657,2259334,3479330,17847615,-152385,-0.008465826847504632
2023-01-06,19500000,7270131,5825666,2558227,3414194,19068218,-431782,-0.02214268110870976
2023-02-06,21000000,7844452,6283723,2659199,4214638,21002013,2013,9.585789630950359e-05
2023-03-06,22500000,8405288,6823408,2689653,4596416,22514765,14765,0.0006562437939601207
2023-04-06,24000000,8997665,8003934,3352389,5264531,25618520,1618520,0.06743833297213575
2023-05-06,25500000,9569383,8574564,3641239,5635206,27420393,1920393,0.07530952271508684
2023-06-06,27000000,10135196,8468761,3504958,6531958,28640873,1640873,0.06077306914872005
2023-07-06,28500000,10758124,8800144,3551568,7100399,30210236,1710236,0.060008269235213074
2023-08-06,30000000,11393035,9226628,3869412,7566076,32055151,2055151,0.06850504664685753
2023-09-06,31500000,11972942,9819002,4065127,8011796,33868867,2368867,0.07520212067062015
2023-10-06,33000000,12555969,10003735,3791914,8026422,34378040,1378040,0.04175877579483167
2023-11-06,34500000,13142848,10659796,4391563,8270860,36465068,1965068,0.05695847830891143
2023-12-06,36000000,13740506,11370534,4771014,9241248,39123302,3123302,0.08675839755291359
2024-01-06,37500000,14340788,11878716,4721277,9845742,40786524,3286524,0.08764064589812537
2024-02-06,39000000,14929836,12243098,4769153,11177250,43119337,4119337,0.10562403668562648
2024-03-06,40500000,15516255,13209940,5218669,11838891,45783755,5283755,0.13046309673484768
2024-04-06,42000000,16113275,14902548,6061420,12330655,49407898,7407898,0.17637852103048246
2024-05-06,43500000,16699415,15568199,6224832,12569940,51062387,7562387,0.17384796626131171
2024-06-06,45000000,17305853,16128586,7098979,13778757,54312175,9312175,0.20693722988685193
2024-07-06,46500000,17912572,16785588,7493472,15391837,57583469,11083469,0.23835416972049805
2024-08-06,48000000,18520276,17807460,6767612,14216985,57312332,9312332,0.19400692591631685
2024-09-06,49500000,19073876,17968991,7356889,14680021,59079777,9579777,0.1935308454031417
2024-10-06,51000000,19627205,19280056,8376656,15991726,63275644,12275644,0.24069889689649804
2024-11-06,52500000,20225749,21302970,8512055,17713869,67754644,15254644,0.2905646436325473
2024-12-06,54000000,20831998,21256647,8492990,19233069,69814704,15814704,0.2928648866296719
2025-01-06,55500000,21433251,22892211,8206607,20184038,72716106,17216106,0.31020011663546665
2025-02-06,57000000,22033941,26476776,9142901,20628888,78282506,21282506,0.37337729556521015
2025-03-06,58500000,22581022,26034248,9405631,19958531,77979432,19479432,0.332981749835519
2025-04-06,60000000,23184189,26454941,9106981,18277608,77023719,17023719,0.2837286506341541
2025-05-06,61500000,23794813,27608117,9533937,19708806,80645673,19145673,0.3113117576060833
2025-06-06,63000000,24399506,27602564,10221876,21291873,83515818,20515818,0.32564791109278657
2025-07-06,64500000,24941471,27912549,10993420,22925813,86773253,22273253,0.3453217522028329
2025-08-06,66000000,25496372,28991936,11373337,24193189,90054833,24054833,0.36446716924452605
2025-09-06,67500000,26096647,31057800,12463924,25371935,94990306,27490306,0.40726379790237077
2025-10-06,69000000,26640313,36800738,14480670,27195800,105117520,36117520,0.5234423213104358
2025-11-06,70500000,27167061,38016311,14866660,29368383,109418415,38918415,0.5520342581380553
2025-12-06,72000000,27708279,40021951,18181836,30402026,116314091,44314091,0.6154734794374397
2026-01-06,73500000,28272596,42434504,24471478,30201490,125380068,51880068,0.7058512699276389
2026-02-06,75000000,28863752,46977071,22651666,29948888,128441377,53441377,0.7125516871280388
2026-03-06,76500000,29469821,49204421,25830692,31212085,135717019,59217019,0.7740786794684316
2026-04-06,78000000,30059636,46417338,22290593,30863181,129630749,51630749,0.6619326747294709
2026-05-27,78000000,30150765,43689934,23563272,38391878,135795848,57795848,0.7409724091446805
