date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2022-01-06,1500000,500000,400000,150000,450000,1500000,0,0.0
2022-02-06,3000000,1050242,800981,299188,835106,2985518,-14482,-0.004827416650334704
2022-03-06,4500000,1601311,1305086,534674,1113073,4554144,54144,0.01203204883802278
2022-04-06,6000000,2151467,1756881,716470,1464181,6088999,88999,0.014833157275084607
2022-05-06,7500000,2703341,2241472,858027,1700396,7503236,3236,0.0004314850027511419
2022-06-06,9000000,3255302,2630075,1056145,1973447,8914969,-85031,-0.009447850271789515
2022-07-06,10500000,3803414,3063076,1086698,2197021,10150209,-349791,-0.03331346205790198
2022-08-06,12000000,4359852,3521616,1360662,2676674,11918803,-81197,-0.006766428938391189
2022-09-06,13500000,4913641,3999358,1418926,2982595,13314520,-185480,-0.013739239082205312
2022-10-06,15000000,5520750,4600491,1766916,3182117,15070274,70274,0.004684964999312369
2022-11-06,16500000,6125005,4976711,1823585,3421117,16346418,-153582,-0.009307980857039544
2022-12-06,18000000,6698293,5410657,2259334,3710809,18079093,79093,0.004394048852631505
2023-01-06,19500000,7270131,5825666,2558227,3760804,19414828,-85172,-0.004367770767986001
2023-02-06,21000000,7844452,6283723,2659199,4307004,21094378,94378,0.004494194278457764
2023-03-06,22500000,8405288,6823408,2689653,4687010,22605359,105359,0.004682612333848146
2023-04-06,24000000,8997665,8003934,3352389,5165226,25519215,1519215,0.0633006212857441
2023-05-06,25500000,9569382,8574564,3641239,5499464,27284649,1784649,0.06998622296124424
2023-06-06,27000000,10135196,8468761,3504958,6036092,28145007,1145007,0.04240767122052769
2023-07-06,28500000,10758126,8800144,3551568,6562203,29672042,1172042,0.04112426517293044
2023-08-06,30000000,11393035,9226628,3869412,6984060,31473135,1473135,0.04910448970608483
2023-09-06,31500000,11972940,9819002,4065127,7357155,33214224,1714224,0.054419812379620014
2023-10-06,33000000,12555968,10003735,3791914,7369555,33721172,721172,0.021853693374412675
2023-11-06,34500000,13142850,10659796,4391563,7630024,35824233,1324233,0.038383557928574286
2023-12-06,36000000,13740505,11370534,4771014,8512459,38394512,2394512,0.06651422770681625
2024-01-06,37500000,14340788,11878716,4721277,9135877,40076658,2576658,0.06871088438549644
2024-02-06,39000000,14929835,12243098,4769153,10133492,42075578,3075578,0.07886097294205574
2024-03-06,40500000,15516254,13209940,5218669,10879829,44824693,4324693,0.10678253326481846
2024-04-06,42000000,16113272,14902548,6061420,11541232,48618473,6618473,0.15758268600880254
2024-05-06,43500000,16699416,15568199,6224832,11801414,50293861,6793861,0.15618071427229951
2024-06-06,45000000,17305856,16128586,7098979,12764076,53297497,8297497,0.18438881954772213
2024-07-06,46500000,17912573,16785588,7493472,13843277,56034909,9534909,0.2050518106981174
2024-08-06,48000000,18520273,17807460,6767612,13496821,56592166,8592166,0.17900345879932322
2024-09-06,49500000,19073878,17968991,7356889,14112979,58512737,9012737,0.18207550424818675
2024-10-06,51000000,19627206,19280056,8376656,15188412,62472331,11472331,0.224947656981076
2024-11-06,52500000,20225745,21302970,8512055,16762041,66802811,14302811,0.27243448714475993
2024-12-06,54000000,20831998,21256647,8492990,18054864,68636499,14636499,0.27104627580378593
2025-01-06,55500000,21433252,22892211,8206607,18665737,71197807,15697807,0.28284336598041193
2025-02-06,57000000,22033941,26476776,9142901,19194618,76848235,19848235,0.34821464855083195
2025-03-06,58500000,22581024,26034248,9405631,18845940,76866844,18366844,0.313963139215647
2025-04-06,60000000,23184192,26454941,9106981,17731437,76477551,16477551,0.2746258431402455
2025-05-06,61500000,23794811,27608117,9533937,18715645,79652510,18152510,0.2951627631588041
2025-06-06,63000000,24399504,27602564,10221876,19622471,81846415,18846415,0.29914944479252004
2025-07-06,64500000,24941469,27912549,10993420,21140366,84987804,20487804,0.31764036449281696
2025-08-06,66000000,25496375,28991936,11373337,22311067,88172715,22172715,0.3359502239444354
2025-09-06,67500000,26096647,31057800,12463924,23497775,93116146,25616146,0.37949846475160065
2025-10-06,69000000,26640312,36800738,14480670,24839699,102761419,33761419,0.48929592386990084
2025-11-06,70500000,27167065,38016311,14866660,26431363,106481398,35981398,0.510374441972707
2025-12-06,72000000,27708278,40021951,18181836,27623541,113535605,41535605,0.5768834082664245
2026-01-06,73500000,28272594,42434504,24471478,27859203,123037780,49537780,0.6739833993795044
2026-02-06,75000000,28863752,46977071,22651666,28281295,126773784,51773784,0.6903171177658474
2026-03-06,76500000,29469819,49204421,25830692,29012673,133517604,57017604,0.7453281631696027
2026-04-06,78000000,30059636,46417338,22290593,28808660,127576227,49576227,0.6355926531300755
2026-05-27,78000000,30150764,43689934,23563272,32861266,130265236,52265236,0.6700671223420609
