date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2015-06-06,1500000,300000,250000,100000,850000,1500000,0,0.0
2015-07-06,3000000,600401,497533,246182,1622138,2966254,-33746,-0.011248509297826836
2015-08-06,4500000,901262,711719,378845,2484723,4476550,-23450,-0.005211069958171333
2015-09-06,6000000,1202242,986774,531455,3092631,5813101,-186899,-0.03114979866440626
2015-10-06,7500000,1603902,1248149,713444,3844792,7410286,-89714,-0.01196183498567227
2015-11-06,9000000,1955403,1468990,788588,4883420,9096401,96401,0.010711248566422915
2015-12-06,10500000,2357232,1602140,833767,5597315,10390452,-109548,-0.010433101856779814
2016-01-06,12000000,2760688,1876622,928975,6189442,11755727,-244273,-0.02035609512059
2016-02-06,13500000,3215240,2262200,1089385,6598750,13165575,-334425,-0.024772189003834044
2016-03-06,15000000,3618288,2725591,1220426,7611823,15176128,176128,0.011741849627792122
2016-04-06,16500000,4022255,2902871,1301105,8637437,16863669,363669,0.022040551103708284
2016-05-06,18000000,4527261,3267639,1589469,9367332,18751701,751701,0.04176114954369625
2016-06-06,19500000,4981988,3337025,1624074,10169956,20113043,613043,0.03143811951046249
2016-07-06,21000000,5441144,4033036,2225206,10697672,22397058,1397058,0.06652655612909353
2016-08-06,22500000,5896270,4252483,2298820,11858779,24306351,1806351,0.08028227355394302
2016-09-06,24000000,6300651,4374665,2286178,12706786,25668279,1668279,0.06951161439957776
2016-10-06,25500000,6755952,4426697,2186648,13259744,26629041,1129041,0.044276101180907856
2016-11-06,27000000,7159628,4777044,2331993,13653995,27922661,922661,0.034172613325422097
2016-12-06,28500000,7513166,4598136,2292486,15113690,29517479,1017479,0.03570100690386835
2017-01-06,30000000,7877071,4929031,2386160,16272986,31465248,1465248,0.048841588816914694
2017-02-06,31500000,8186121,5362705,2698442,17282960,33530228,2030228,0.06445169432196085
2017-03-06,33000000,8543474,5618455,2820717,18688414,35671061,2671061,0.08094124313797879
2017-04-06,34500000,8804972,5902717,2986699,19383759,37078147,2578147,0.07472888676190226
2017-05-06,36000000,9064615,6087304,2793149,20663833,38608901,2608901,0.07246948394887398
2017-06-06,37500000,9374534,6548444,3052454,21947340,40922772,3422772,0.09127392150150082
2017-07-06,39000000,9684778,6514757,2899913,22731572,41831020,2831020,0.07259026882259212
2017-08-06,40500000,9995349,6918452,3098472,24061024,44073298,3573298,0.08822958185604168
