report_date,asset,label,symbol,amount_krw,buy_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2015-06-06,cash,KODEX 단기채권,153130.KS,550000,2015-06-05,93149.375,5.90449479666396,113255.0,668714,118714,0.21584283308395769
2015-06-06,gold,KODEX 골드선물(H),132030.KS,250000,2015-06-05,9074.9629,27.548322016640476,25445.0,700967,450967,1.8038682148536678
2015-06-06,silver,KODEX 은선물(H),144600.KS,150000,2015-06-05,4047.3125,37.061630402890806,12600.0,466977,316977,2.1131769538428276
2015-06-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2015-06-05,9835.4727,55.92003752361609,32610.0,1823552,1273552,2.3155498611729466
2015-07-06,cash,KODEX 단기채권,153130.KS,550000,2015-07-06,93273.9141,5.8966111321485,113255.0,667821,117821,0.21421944322086972
2015-07-06,gold,KODEX 골드선물(H),132030.KS,250000,2015-07-06,8985.4072,27.82289034835889,25445.0,707953,457953,1.8318137796559677
2015-07-06,silver,KODEX 은선물(H),144600.KS,150000,2015-07-06,3892.7969,38.532706641673926,12600.0,485512,335512,2.23674735790061
2015-07-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2015-07-06,9513.0791,57.81513999075902,32610.0,1885352,1335352,2.4279122092702754
2015-08-06,cash,KODEX 단기채권,153130.KS,550000,2015-08-06,93407.6719,5.888167309597662,113255.0,666864,116864,0.21248070663360585
2015-08-06,gold,KODEX 골드선물(H),132030.KS,250000,2015-08-06,8338.6172,29.980990178415,25445.0,762866,512866,2.0514651803590787
2015-08-06,silver,KODEX 은선물(H),144600.KS,150000,2015-08-06,3618.6562,41.45185108422498,12600.0,522293,372293,2.4819554910748978
2015-08-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2015-08-06,9880.1113,55.6673889325877,32610.0,1815314,1265314,2.300570096530336
2015-09-06,cash,KODEX 단기채권,153130.KS,550000,2015-09-04,93509.1562,5.881776951655469,113255.0,666141,116141,0.21116481574498214
2015-09-06,gold,KODEX 골드선물(H),132030.KS,250000,2015-09-04,8632.1611,28.96146123242557,25445.0,736924,486924,1.9476975242362746
2015-09-06,silver,KODEX 은선물(H),144600.KS,150000,2015-09-04,3643.5781,41.168322691036025,12600.0,518721,368721,2.4581391060470263
2015-09-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2015-09-03,9116.2871,60.331579446899106,32610.0,1967413,1417413,2.577114192297054
2015-10-06,cash,KODEX 단기채권,153130.KS,550000,2015-10-06,93638.3125,5.873664158567573,113255.0,665222,115222,0.20949424414285533
2015-10-06,gold,KODEX 골드선물(H),132030.KS,250000,2015-10-06,8731.667,28.63141714218865,25445.0,728526,478526,1.9141056367319607
2015-10-06,silver,KODEX 은선물(H),144600.KS,150000,2015-10-06,3862.8906,38.831024370512694,12600.0,489271,339271,2.2618060471230663
2015-10-06,equity,KODEX 미국S&P500선물(H),219480.KS,550000,2015-10-06,9270.0439,59.33089457230821,32610.0,1934780,1384780,2.5177826763690376
2015-11-06,cash,KODEX 단기채권,153130.KS,550000,2015-11-06,93725.9609,5.868171363607152,113255.0,664600,114600,0.20836317779150537
