date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2012-03-06,1500000,350000,350000,150000,650000,1500000,0,0.0
2012-04-06,3000000,701084,685092,291192,1345685,3023053,23053,0.007684255119156935
2012-05-06,4500000,1002898,988113,425724,2073102,4489837,-10163,-0.0022584809792021154
2012-06-06,6000000,1405886,1281409,550453,2648485,5886233,-113767,-0.018961135994304268
2012-07-06,7500000,1759853,1569054,686329,3412710,7427945,-72055,-0.009607393416774634
2012-08-06,9000000,2065847,1873509,838771,4188360,8966487,-33513,-0.003723654237430596
2012-09-06,10500000,2370725,2278098,1141059,5091459,10881342,381342,0.03631825074547956
2012-10-06,12000000,2675612,2713388,1374618,5857948,12621565,621565,0.051797046185566575
2012-11-06,13500000,3032033,2804412,1374701,6179317,13390463,-109537,-0.008113839350904706
2012-12-06,15000000,3338552,3054412,1587698,6864532,14845194,-154806,-0.010320421695611537
2013-01-06,16500000,3646493,3241047,1598560,7775512,16261612,-238388,-0.014447769870715832
2013-02-06,18000000,3904143,3577920,1853728,8792754,18128545,128545,0.007141392302330685
2013-03-06,19500000,4213093,3689171,1835519,9655611,19393394,-106606,-0.005466961977712237
2013-04-06,21000000,4523987,3971188,1863401,10733485,21092061,92061,0.004383859047964345
2013-05-06,22500000,4781166,4079007,1830449,11822226,22512848,12848,0.0005710313580662429
2013-06-06,24000000,5042528,4184088,1852022,13043417,24122055,122055,0.00508561677205277
2013-07-06,25500000,5302742,4048641,1724138,13973782,25049303,-450697,-0.017674398721839846
2013-08-06,27000000,5562936,4537813,1900528,15160753,27162030,162030,0.006001125761388115
2013-09-06,28500000,5874158,5134850,2409623,15671114,29089745,589745,0.020692791742160432
2013-10-06,30000000,6136562,5228583,2388526,16568707,30322378,322378,0.01074593577405003
2013-11-06,31500000,6399190,5465711,2545046,18044755,32454701,954701,0.030307977207516323
2013-12-06,33000000,6712333,5359603,2420218,19360156,33852310,852310,0.025827583047124403
2014-01-06,34500000,7026033,5646390,2666238,20473276,35811938,1311938,0.03802719020711631
2014-02-06,36000000,7291823,6097060,2797977,21094167,37281026,1281026,0.035584060492647174
2014-03-06,37500000,7554540,6833427,3124401,23323115,40835482,3335482,0.08894619412330829
2014-04-06,39000000,7819948,6954984,3065914,23355175,41196021,2196021,0.05630823018043363
2014-05-06,40500000,8135863,7187553,3091086,23195654,41610155,1110155,0.027411234912428473
2014-06-06,42000000,8404001,7328067,3209087,24784395,43725550,1725550,0.04108452108949945
2014-07-06,43500000,8723941,8087710,3741760,26254815,46808226,3308226,0.07605117664789085
2014-08-06,45000000,8996744,8163270,3681942,27545383,48387338,3387338,0.07527417219492794
2014-09-06,46500000,9327277,8286485,3693413,29323919,50631094,4131094,0.08884073429143591
2014-10-06,48000000,9640078,8084657,3383637,31238321,52346693,4346693,0.09055609660594577
2014-11-06,49500000,9962258,8041227,3251336,33263832,54518652,5018652,0.10138691749351669
2014-12-06,51000000,10274422,8670914,3605586,36442197,58993119,7993119,0.15672782231875515
2015-01-06,52500000,10591478,8944185,3640346,35846753,59022763,6522763,0.12424309709251347
2015-02-06,54000000,10914230,9701725,4017621,36888343,61521919,7521919,0.13929478741813006
2015-03-06,55500000,11280008,9361102,3851614,39806521,64299245,8799245,0.1585449485542776
2015-04-06,57000000,11606959,9626388,4125831,38748072,64107251,7107251,0.12468861711611501
