date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2020-09-06,1500000,550000,250000,100000,600000,1500000,0,0.0
2020-10-06,3000000,1100161,496082,191518,1177928,2965689,-34311,-0.011436872072995374
2020-11-06,4500000,1650859,752100,346750,1716119,4465827,-34173,-0.007594058590521868
2020-12-06,6000000,2201261,962664,431931,2346640,5942496,-57504,-0.00958406714503457
2021-01-06,7500000,2752334,1265934,638922,2935301,7592491,92491,0.012332119617453063
2021-02-06,9000000,3303943,1414944,767083,3729112,9215082,215082,0.023898043247859713
2021-03-06,10500000,3855230,1582017,880191,4175762,10493199,-6801,-0.0006476879163329619
2021-04-06,12000000,4356919,1916215,1022639,5039919,12335692,335692,0.027974293810877127
2021-05-06,13500000,4859250,2279467,1237538,5736748,14113003,613003,0.045407633243498946
2021-06-06,15000000,5410195,2676585,1419987,6227033,15733799,733799,0.04891994413031586
2021-07-06,16500000,5907039,2978776,1529952,7001854,17417622,917622,0.05561343944552011
2021-08-06,18000000,6410200,3314198,1588404,7710619,19023421,1023421,0.056856743790754116
2021-09-06,19500000,6912693,3713096,1712365,8507179,20845333,1345333,0.06899144276594349
2021-10-06,21000000,7416387,3955635,1694486,8806070,21872578,872578,0.041551329812683724
2021-11-06,22500000,7916387,4454067,1953154,9913968,24237576,1737576,0.07722558714063332
2021-12-06,24000000,8471771,4767408,1985446,10115052,25339677,1339677,0.05581988060000875
2022-01-06,25500000,8980816,5214884,2144079,10985584,27325363,1825363,0.07158286722146334
2022-02-06,27000000,9535172,5621311,2282476,11021975,28460934,1460934,0.05410868449187145
2022-03-06,28500000,10094874,6479589,2753194,11031179,30358836,1858836,0.06522233121857712
2022-04-06,30000000,10645854,6872577,2859457,11837692,32215580,2215580,0.07385267368311865
2022-05-06,31500000,11205130,7158123,2826209,11622002,32811463,1311463,0.041633754456609884
2022-06-06,33000000,11763258,7554345,3020011,11737805,34075419,1075419,0.03258845427152246
2022-07-06,34500000,12306437,7573958,2735481,11583235,34199111,-300889,-0.008721413821085378
2022-08-06,36000000,12877266,8110353,3121666,12830408,36939694,939694,0.026102612294917504
2022-09-06,37500000,13438456,8218187,2996493,13158792,37811927,311927,0.008318062358793732
2022-10-06,39000000,14057899,8721771,3564608,13186093,39530371,530371,0.013599252637773063
2022-11-06,40500000,14668736,8811156,3526321,13390511,40396723,-103277,-0.0025500385111222323
2022-12-06,42000000,15274506,9889948,4182195,13650160,42996809,996809,0.02373355821378853
2023-01-06,43500000,15874305,10640446,4565254,12896595,43976600,476600,0.010956330914450252
2023-02-06,45000000,16477409,11287897,4588535,14040868,46394709,1394709,0.03099354300237689
2023-03-06,46500000,17050170,11555097,4495977,14601688,47702933,1202933,0.025869524892529805
2023-04-06,48000000,17686135,12906135,5469479,15351126,51412874,3412874,0.07110153826620857
2023-05-06,49500000,18278822,13473909,5814440,15752880,53320050,3820050,0.07717273712399164
2023-06-06,51000000,18859028,13183459,5477456,16637468,54157411,3157411,0.06191001107191507
2023-07-06,52500000,19501694,13285026,5437742,17560707,55785169,3285169,0.06257464433874294
2023-08-06,54000000,20164973,13814583,5818170,18186798,57984525,3984525,0.07378750876157603
2023-09-06,55500000,20767908,14158958,6011727,18677140,59615733,4115733,0.07415735530649648
2023-10-06,57000000,21375198,13776416,5511914,18247028,58910556,1910556,0.03351852967013258
2023-11-06,58500000,21987982,15405076,6292844,18375350,62061252,3561252,0.06087609469327515
2023-12-06,60000000,22617712,16011015,6749986,19937197,65315909,5315909,0.08859848729806297
2024-01-06,61500000,23250476,16429543,6596661,20860465,67137145,5637145,0.09166089888942586
2024-02-06,63000000,23863786,16588577,6584110,22625037,69661509,6661509,0.10573824458015313
2024-03-06,64500000,24471995,17699402,7128582,23798305,73098284,8598284,0.13330672236898566
2024-04-06,66000000,25096155,19300147,8206565,24829461,77432329,11432329,0.1732171008672796
2024-05-06,67500000,25702445,19862733,8357029,24986226,78908433,11408433,0.16901381948858485
2024-06-06,69000000,26339313,20435573,9462092,26633369,82870346,13870346,0.20101950994575013
2024-07-06,70500000,26975638,20997120,9921327,28450578,86344663,15844663,0.2247469972397178
