date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2022-01-06,1500000,200000,450000,200000,650000,1500000,0,0.0
2022-02-06,3000000,400097,901104,398918,1262709,2962828,-37172,-0.012390820605451047
2022-03-06,4500000,600504,1461972,646232,1808023,4516731,16731,0.003718006731125101
2022-04-06,6000000,800562,1963982,824230,2524965,6113740,113740,0.018956637514162544
2022-05-06,7500000,1001260,2552651,956997,2836488,7347396,-152604,-0.02034720958694436
2022-06-06,9000000,1151986,3032731,1154898,3377375,8716990,-283010,-0.03144559257948498
2022-07-06,10500000,1501318,3513129,1169607,3684078,9868132,-631868,-0.060177907594789026
2022-08-06,12000000,1803859,3972924,1449214,4707946,11933942,-66058,-0.005504827502588849
2022-09-06,13500000,2105427,4504221,1498254,5051691,13159593,-340407,-0.02521536304408245
2022-10-06,15000000,2508473,5118121,1857313,5366737,14850644,-149356,-0.009957092768494213
2022-11-06,16500000,2860407,5480413,1959207,5505667,15805694,-694306,-0.042079155859367834
2022-12-06,18000000,3271282,5862735,2412489,6084027,17630533,-369467,-0.020525971970047796
2023-01-06,19500000,3681947,6278998,2718086,5858112,18537143,-962857,-0.049377300284212056
2023-02-06,21000000,4044265,6737682,2812870,7216777,20811593,-188407,-0.008971754699926948
2023-03-06,22500000,4449851,7233846,2833526,7856810,22374033,-125967,-0.0055985512015296335
2023-04-06,24000000,4822286,8461322,3521014,8950573,25755195,1755195,0.07313312001886807
2023-05-06,25500000,5183925,9038845,3814333,9570731,27607835,2107835,0.08266019579569184
2023-06-06,27000000,5642491,8905655,3612066,10999327,29159539,2159539,0.07998292772095494
2023-07-06,28500000,6105257,9233498,3653989,11901363,30894107,2394107,0.08400375689907613
2023-08-06,30000000,6575068,9661286,3975231,12629063,32840648,2840648,0.09468826989149037
2023-09-06,31500000,6992328,10260367,4170829,13322292,34745816,3245816,0.10304177128655945
2023-10-06,33000000,7411616,10383176,3885311,13347765,35027868,2027868,0.06145054667942196
2023-11-06,34500000,7833387,11048950,4494804,13672216,37049357,2549357,0.07389439308094903
2023-12-06,36000000,8211791,11772857,4878474,15215100,40078222,4078222,0.11328395659263268
2024-01-06,37500000,8541839,12336636,4823112,16151785,41853373,4353373,0.11608995750799656
2024-02-06,39000000,8865098,12751572,4867707,18279909,44764286,5764286,0.14780220696021606
2024-03-06,40500000,9186724,13794033,5322379,19307814,47610949,7110949,0.17557899742451188
2024-04-06,42000000,9514562,15593795,6177904,20089012,51375273,9375273,0.22322077760658798
2024-05-06,43500000,9885902,16271768,6340612,20458637,52956920,9456920,0.21740046602313634
2024-06-06,45000000,10269315,16839403,7227298,22406434,56742450,11742450,0.2609433361783684
2024-07-06,46500000,10652971,17559935,7625306,24929093,60767306,14267306,0.30682377468443245
2024-08-06,48000000,11037289,18612802,6883157,22978416,59511664,11511664,0.23982633671377362
2024-09-06,49500000,11369235,18765810,7479934,23618668,61233647,11733647,0.2370433784085182
2024-10-06,51000000,11701020,20119492,8513413,25655068,65988992,14988992,0.2939018105642581
2024-11-06,52500000,11979958,22265244,8647757,28426144,71319102,18819102,0.35845909406007803
2024-12-06,54000000,12263276,22198759,8675996,30872168,74010199,20010199,0.37055924803302087
2025-01-06,55500000,12543449,23939084,8379133,32436820,77298486,21798486,0.3927655095499183
2025-02-06,57000000,12823113,27771568,9330906,33108897,83034483,26034483,0.4567453145987559
2025-03-06,58500000,13150515,27290284,9594926,31960744,81996469,23496469,0.4016490425470991
2025-04-06,60000000,13531476,27714387,9287246,29198379,79731488,19731488,0.3288581366216068
2025-05-06,61500000,13916858,28908180,9719685,31385963,83930686,22430686,0.3647265949474694
2025-06-06,63000000,14298847,28885884,10418104,33840353,87443188,24443188,0.3879871078396513
2025-07-06,64500000,14623441,29194009,11201580,36342588,91361618,26861618,0.41645919001076814
2025-08-06,66000000,14955630,30306882,11585850,38259051,95107413,29107413,0.4410214090595259
2025-09-06,67500000,15285118,32450570,12694012,40111488,100541188,33041188,0.4894990872670508
2025-10-06,69000000,15610694,38435351,14744296,42933486,111723827,42723827,0.6191858929925833
2025-11-06,70500000,15926370,39689371,15133672,46302895,117052307,46552307,0.6603164078753105
2025-12-06,72000000,16250534,41767874,18504798,47873080,124396285,52396285,0.7277261741268073
2026-01-06,73500000,16588254,44270405,24903498,47469968,133232125,59732125,0.8126819663677751
2026-02-06,75000000,16912401,48994359,23048911,47065635,136021307,61021307,0.8136174235541085
2026-03-06,76500000,17195253,51352326,26280180,49072178,143899938,67399938,0.8810449418155115
2026-04-06,78000000,17468486,48421754,22725869,48601960,137218068,59218068,0.7592060050204552
2026-05-27,78000000,17519123,45561236,23861208,60401758,147343325,69343325,0.8890169836753694
