report_date,asset,label,symbol,amount_krw,buy_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2022-01-06,cash,KODEX 단기채권,153130.KS,200000,2022-01-06,100963.3438,1.9809169602705436,113245.0,224329,24329,0.12164470582918852
2022-01-06,gold,ACE KRX금현물,411060.KS,450000,2022-01-06,10189.6611,44.16241071559494,29705.0,1311844,861844,1.9152098006816614
2022-01-06,silver,KODEX 은선물(H),144600.KS,200000,2022-01-06,4605.5625,43.42574875490236,12505.0,543039,343039,1.71519494090027
2022-01-06,equity,TIGER 미국나스닥100,133690.KS,650000,2022-01-06,82376.3438,7.89061483443176,199340.0,1572915,922915,1.419869478608657
2022-02-06,cash,KODEX 단기채권,153130.KS,200000,2022-02-04,101012.2812,1.979957263859933,113245.0,224220,24220,0.1211013017290905
2022-02-06,gold,ACE KRX금현물,411060.KS,450000,2022-02-04,10214.6602,44.054329083543756,29705.0,1308634,858634,1.9080752120592606
2022-02-06,silver,KODEX 은선물(H),144600.KS,200000,2022-02-04,4580.6406,43.662015070217386,12505.0,545993,345993,1.729967492265342
2022-02-06,equity,TIGER 미국나스닥100,133690.KS,650000,2022-02-04,77650.3281,8.370859669177992,199340.0,1668647,1018647,1.5671494868522169
2022-03-06,cash,KODEX 단기채권,153130.KS,200000,2022-03-04,101115.0938,1.9779440693046877,113245.0,223992,23992,0.11996138064204676
2022-03-06,gold,ACE KRX금현물,411060.KS,500000,2022-03-04,10904.6377,45.85205065684406,29705.0,1362035,862035,1.724070329523105
2022-03-06,silver,KODEX 은선물(H),144600.KS,200000,2022-03-04,5123.9375,39.03248234390056,12505.0,488101,288101,1.4405059585523827
2022-03-06,equity,TIGER 미국나스닥100,133690.KS,600000,2022-03-04,74287.4219,8.076737418746234,199340.0,1610017,1010017,1.6833613950881237
2022-04-06,cash,KODEX 단기채권,153130.KS,200000,2022-04-06,101124.875,1.9777527537116857,113245.0,223971,23971,0.11985305297039939
2022-04-06,gold,ACE KRX금현물,411060.KS,500000,2022-04-06,10919.6367,45.789069076030245,29705.0,1360164,860164,1.7203285938069568
2022-04-06,silver,KODEX 은선물(H),144600.KS,200000,2022-04-06,4949.4844,40.408249596706725,12505.0,505305,305305,1.5265258060340878
2022-04-06,equity,TIGER 미국나스닥100,133690.KS,600000,2022-04-06,79092.2891,7.586074535355404,199340.0,1512208,912208,1.5203468297962437
2022-05-06,cash,KODEX 단기채권,153130.KS,200000,2022-05-06,101212.9922,1.9760308995656823,113245.0,223776,23776,0.11887809610657851
2022-05-06,gold,ACE KRX금현물,411060.KS,550000,2022-05-06,11134.6299,49.395445182150524,29705.0,1467292,917292,1.667803089337784
2022-05-06,silver,KODEX 은선물(H),144600.KS,200000,2022-05-06,4545.75,43.997140185887915,12505.0,550184,350184,1.750921190122642
2022-05-06,equity,TIGER 미국나스닥100,133690.KS,550000,2022-05-06,71622.2266,7.679180422016778,199340.0,1530768,980768,1.7832142278633172
2022-06-06,cash,KODEX 단기채권,153130.KS,150000,2022-06-03,101286.3984,1.480949093994682,113245.0,167710,17710,0.11806720099618517
2022-06-06,gold,ACE KRX금현물,411060.KS,550000,2022-06-03,10829.6396,50.786546723127024,29705.0,1508614,958614,1.7429352189281606
2022-06-06,silver,KODEX 은선물(H),144600.KS,200000,2022-06-03,4535.7812,44.093837197285474,12505.0,551393,351393,1.7569671707602743
2022-06-06,equity,TIGER 미국나스닥100,133690.KS,600000,2022-06-03,70129.5859,8.555590225995694,199340.0,1705471,1105471,1.842452259416636
2022-07-06,cash,KODEX 단기채권,153130.KS,350000,2022-07-06,101227.6797,3.4575523323312862,113245.0,391551,41551,0.11871575392816158
2022-07-06,gold,ACE KRX금현물,411060.KS,500000,2022-07-06,10759.6426,46.46994510919257,29705.0,1380390,880390,1.760779438937131
2022-07-06,silver,KODEX 은선물(H),144600.KS,200000,2022-07-06,3808.0625,52.52014639990809,12505.0,656764,456764,2.2838221536542536
2022-07-06,equity,TIGER 미국나스닥100,133690.KS,450000,2022-07-06,67154.1016,6.7010054416584985,199340.0,1335778,885778,1.9683964994226777
2022-08-06,cash,KODEX 단기채권,153130.KS,300000,2022-08-05,101399.0,2.9586090592609393,113245.0,335048,35048,0.11682560972001688
2022-08-06,gold,ACE KRX금현물,411060.KS,450000,2022-08-05,10789.6416,41.706667989308684,29705.0,1238897,788897,1.7531034947164765
2022-08-06,silver,KODEX 은선물(H),144600.KS,200000,2022-08-05,4067.25,49.173274325404144,12505.0,614912,414912,2.074558977195894
2022-08-06,equity,TIGER 미국나스닥100,133690.KS,550000,2022-08-05,75791.8516,7.256716766530703,199340.0,1446554,896554,1.630098036800419
2022-09-06,cash,KODEX 단기채권,153130.KS,300000,2022-09-06,101487.125,2.9560399902943355,113245.0,334757,34757,0.11585582900294011
2022-09-06,gold,ACE KRX금현물,411060.KS,500000,2022-09-06,10874.6387,45.97853915764083,29705.0,1365793,865793,1.7315850113554418
2022-09-06,silver,KODEX 은선물(H),144600.KS,200000,2022-09-06,3643.5781,54.89109692138137,12505.0,686413,486413,2.4320658350093702
2022-09-06,equity,TIGER 미국나스닥100,133690.KS,500000,2022-09-06,73276.3516,6.823483829889269,199340.0,1360193,860193,1.7203865333002537
2022-10-06,cash,KODEX 단기채권,153130.KS,400000,2022-10-06,101633.9766,3.935691719727401,113245.0,445697,45697,0.11424352200132382
2022-10-06,gold,ACE KRX금현물,411060.KS,500000,2022-10-06,11149.6289,44.844541841183755,29705.0,1332107,832107,1.6642142307847267
2022-10-06,silver,KODEX 은선물(H),144600.KS,150000,2022-10-06,4151.9844,36.12730358601121,12505.0,451772,301772,2.0118128756204676
2022-10-06,equity,TIGER 미국나스닥100,133690.KS,450000,2022-10-06,71318.8047,6.309696327241884,199340.0,1257775,807775,1.7950552574942158
2022-11-06,cash,KODEX 단기채권,153130.KS,350000,2022-11-04,101712.3125,3.4410779914181973,113245.0,389685,39685,0.11338536325186799
2022-11-06,gold,ACE KRX금현물,411060.KS,500000,2022-11-04,10849.6387,46.08448402029517,29705.0,1368940,868940,1.737879195645736
2022-11-06,silver,KODEX 은선물(H),144600.KS,200000,2022-11-04,3932.6719,50.85600994870695,12505.0,635954,435954,2.179772022042902
2022-11-06,equity,TIGER 미국나스닥100,133690.KS,450000,2022-11-04,67184.9766,6.697925980243212,199340.0,1335165,885165,1.9670323664481817
2022-12-06,cash,KODEX 단기채권,153130.KS,400000,2022-12-06,102099.0234,3.9177651904267266,113245.0,443667,43667,0.1091682974746866
2022-12-06,gold,ACE KRX금현물,411060.KS,400000,2022-12-06,10814.6406,36.98689710274122,29705.0,1098696,698696,1.7467394460923193
2022-12-06,silver,KODEX 은선물(H),144600.KS,200000,2022-12-06,4441.0781,45.034109819898745,12505.0,563152,363152,1.815757716489169
2022-12-06,equity,TIGER 미국나스닥100,133690.KS,500000,2022-12-06,68141.1953,7.337705153350585,199340.0,1462698,962698,1.9253962905378113
2023-01-06,cash,KODEX 단기채권,153130.KS,400000,2023-01-06,102431.8984,3.905033550111,113245.0,442226,42226,0.10556381095580036
2023-01-06,gold,ACE KRX금현물,411060.KS,400000,2023-01-06,10844.6396,36.88458196558261,29705.0,1095657,695657,1.739141268219079
2023-01-06,silver,KODEX 은선물(H),144600.KS,200000,2023-01-06,4635.4688,43.14558263390299,12505.0,539536,339536,1.6976775541847844
2023-01-06,equity,TIGER 미국나스닥100,133690.KS,500000,2023-01-06,60010.9336,8.331815055316417,199340.0,1660864,1160864,2.321728026253549
2023-02-06,cash,KODEX 단기채권,153130.KS,350000,2023-02-06,102774.5625,3.405511942704694,113245.0,385657,35657,0.10187771414740876
2023-02-06,gold,ACE KRX금현물,411060.KS,450000,2023-02-06,10859.6387,41.43784278619134,29705.0,1230911,780911,1.7353580443640308
2023-02-06,silver,KODEX 은선물(H),144600.KS,200000,2023-02-06,4456.0312,44.88298864600647,12505.0,561262,361262,1.8063088650915544
2023-02-06,equity,TIGER 미국나스닥100,133690.KS,500000,2023-02-06,68807.1641,7.266685189144435,199340.0,1448541,948541,1.8970820512081037
2023-03-06,cash,KODEX 단기채권,153130.KS,400000,2023-03-06,102916.5156,3.8866453801981793,113245.0,440143,40143,0.1003578902013571
2023-03-06,gold,ACE KRX금현물,411060.KS,400000,2023-03-06,11014.6338,36.31532447290248,29705.0,1078747,678747,1.6968667836689204
2023-03-06,silver,KODEX 은선물(H),144600.KS,200000,2023-03-06,4171.9219,47.93953625989221,12505.0,599484,399484,1.99741950464976
2023-03-06,equity,TIGER 미국나스닥100,133690.KS,500000,2023-03-06,70142.2891,7.128367304273133,199340.0,1420969,920969,1.8419374768676127
