date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2022-01-06,1500000,200000,450000,200000,650000,1500000,0,0.0
2022-02-06,3000000,400097,901104,398918,1278486,2978605,-21395,-0.007131794941505065
2022-03-06,4500000,600504,1461972,646232,1844755,4553463,53463,0.01188068112917251
2022-04-06,6000000,800562,1963982,824230,2529460,6118235,118235,0.019705813867723965
2022-05-06,7500000,1001260,2552651,956997,2969268,7480175,-19825,-0.0026432829960215676
2022-06-06,9000000,1151986,3032731,1154898,3522208,8861823,-138177,-0.015353011950108963
2022-07-06,10500000,1501318,3513129,1169607,3835804,10019857,-480143,-0.045727885725145745
2022-08-06,12000000,1803859,3972924,1449214,4699460,11925457,-74543,-0.00621193047356261
2022-09-06,13500000,2105427,4504221,1498254,5209858,13317760,-182240,-0.0134992917828477
2022-10-06,15000000,2508473,5118121,1857313,5571686,15055592,55592,0.00370612285222105
2022-11-06,16500000,2860407,5480413,1959207,6002424,16302451,-197549,-0.01197267735988583
2022-12-06,18000000,3271282,5862735,2412489,6484339,18030844,30844,0.001713580942244608
2023-01-06,19500000,3681947,6278998,2718086,6460103,19139133,-360867,-0.018505978725026462
2023-02-06,21000000,4044265,6737682,2812870,7383012,20977828,-22172,-0.0010558036315803099
2023-03-06,22500000,4449851,7233846,2833526,8020158,22537381,37381,0.0016613590166467684
2023-04-06,24000000,4822286,8461322,3521014,8789554,25594176,1594176,0.06642400133315784
2023-05-06,25500000,5183925,9038845,3814333,9347817,27384920,1884920,0.07391844590615748
2023-06-06,27000000,5642491,8905655,3612066,10165041,28325253,1325253,0.049083455631668604
2023-07-06,28500000,6105257,9233498,3653989,10995823,29988566,1488566,0.05223040039322546
2023-08-06,30000000,6575069,9661286,3975231,11650009,31861595,1861595,0.06205317645945674
2023-09-06,31500000,6992328,10260367,4170829,12221936,33645460,2145460,0.06810983341900512
2023-10-06,33000000,7411617,10383176,3885311,12244165,33924270,924270,0.028008173304275408
2023-11-06,34500000,7833387,11048950,4494804,12595415,35972557,1472557,0.04268279778978257
2023-12-06,36000000,8211791,11772857,4878474,13991806,38854928,2854928,0.07930356071895606
2024-01-06,37500000,8541840,12336636,4823112,14959034,40660623,3160623,0.08428326978524914
2024-02-06,39000000,8865099,12751572,4867707,16537567,43021944,4021944,0.10312677928439107
2024-03-06,40500000,9186723,13794033,5322379,17702779,46005914,5505914,0.13594849612045756
2024-04-06,42000000,9514563,15593795,6177904,18759465,50045726,8045726,0.19156490671975224
2024-05-06,43500000,9885902,16271768,6340612,19163473,51661756,8161756,0.18762657802936733
2024-06-06,45000000,10269315,16839403,7227298,20708330,55044346,10044346,0.22320769040966448
2024-07-06,46500000,10652972,17559935,7625306,22360262,58198475,11698475,0.25158010740669434
2024-08-06,48000000,11037287,18612802,6883157,21754554,58287801,10287801,0.21432918215673036
2024-09-06,49500000,11369234,18765810,7479934,22641781,60256759,10756759,0.2173082529830308
2024-10-06,51000000,11701019,20119492,8513413,24295175,64629098,13629098,0.26723722044243736
2024-11-06,52500000,11979960,22265244,8647757,26822498,69715458,17215458,0.3279134808038353
2024-12-06,54000000,12263278,22198759,8675996,28901185,72039218,18039218,0.3340595953776193
2025-01-06,55500000,12543449,23939084,8379133,29918778,74780444,19280444,0.3473953840732198
2025-02-06,57000000,12823114,27771568,9330906,30725354,80650941,23650941,0.414928796047082
2025-03-06,58500000,13150514,27290284,9594926,30096892,80132616,21632616,0.36978831035281257
2025-04-06,60000000,13531479,27714387,9287246,28248386,78781498,18781498,0.3130249695762981
2025-05-06,61500000,13916859,28908180,9719685,29719790,82264514,20764514,0.3376343724539217
2025-06-06,63000000,14298847,28885884,10418104,31095217,84698052,21698052,0.344413520113821
2025-07-06,64500000,14623440,29194009,11201580,33408248,88427277,23927277,0.3709655300011101
2025-08-06,66000000,14955631,30306882,11585850,35168158,92016521,26016521,0.3941897098031535
2025-09-06,67500000,15285119,32450570,12694012,37029405,97459106,29959106,0.44383861002151326
2025-10-06,69000000,15610695,38435351,14744296,39084960,107875302,38875302,0.5634101676162286
2025-11-06,70500000,15926372,39689371,15133672,41531354,112280768,41780768,0.5926350052610014
2025-12-06,72000000,16250534,41767874,18504798,43347532,119870736,47870736,0.6648713390917316
2026-01-06,73500000,16588253,44270405,24903498,43632727,129394882,55894882,0.760474581986186
2026-02-06,75000000,16912401,48994359,23048911,44289017,133244688,58244688,0.7765958466373069
2026-03-06,76500000,17195254,51352326,26280180,45457961,140285722,63785722,0.8338002864112721
2026-04-06,78000000,17468486,48421754,22725869,45218257,133834365,55834365,0.7158251982845756
2026-05-27,78000000,17519122,45553567,23870749,51570043,138513480,60513480,0.7758138522394318
