report_date,asset,label,symbol,amount_krw,buy_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2022-01-06,cash,KODEX 단기채권,153130.KS,500000,2022-01-06,100963.3359,4.95229278388264,113255.0,560872,60872,0.12174383847725667
2022-01-06,gold,ACE KRX금현물,411060.KS,400000,2022-01-06,10189.6611,39.25547619163994,29715.0,1166476,766476,1.9161911875864521
2022-01-06,silver,KODEX 은선물(H),144600.KS,150000,2022-01-06,4605.5625,32.56931156617677,12595.0,410210,260210,1.7347365278399764
2022-01-06,equity,TIGER 미국S&P500,360750.KS,450000,2022-01-06,13466.332,33.41667196054048,27985.0,935166,485166,1.0781456995905003
2022-02-06,cash,KODEX 단기채권,153130.KS,550000,2022-02-04,101012.2891,5.444882054496309,113255.0,616660,66660,0.1212002128763261
2022-02-06,gold,ACE KRX금현물,411060.KS,400000,2022-02-04,10214.6602,39.15940362981667,29715.0,1163622,763622,1.909054197150006
2022-02-06,silver,KODEX 은선물(H),144600.KS,150000,2022-02-04,4580.6406,32.746511302663045,12595.0,412442,262442,1.7496153990469403
2022-02-06,equity,TIGER 미국S&P500,360750.KS,400000,2022-02-04,13020.6133,30.720519176774086,27985.0,859714,459714,1.149284322905057
2022-03-06,cash,KODEX 단기채권,153130.KS,550000,2022-03-04,101115.0781,5.439347031113219,113255.0,616033,66033,0.12006045092495943
2022-03-06,gold,ACE KRX금현물,411060.KS,450000,2022-03-04,10904.6377,41.26684559115965,29715.0,1226244,776244,1.7249873705362426
2022-03-06,silver,KODEX 은선물(H),144600.KS,200000,2022-03-04,5123.9375,39.03248234390056,12595.0,491614,291614,1.4580705756071377
2022-03-06,equity,TIGER 미국S&P500,360750.KS,300000,2022-03-04,12677.0879,23.664740876479758,27985.0,662258,362258,1.2075259114276204
2022-04-06,cash,KODEX 단기채권,153130.KS,550000,2022-04-06,101124.8828,5.438819652525864,113255.0,615974,65974,0.11995185408512121
2022-04-06,gold,ACE KRX금현물,411060.KS,450000,2022-04-06,10919.6367,41.21016216842722,29715.0,1224560,774560,1.7212443751884776
2022-04-06,silver,KODEX 은선물(H),144600.KS,200000,2022-04-06,4949.4844,40.408249596706725,12595.0,508942,308942,1.5447095183526063
2022-04-06,equity,TIGER 미국S&P500,360750.KS,300000,2022-04-06,13259.1758,22.62584077241321,27985.0,633184,333184,1.1106138467199456
2022-05-06,cash,KODEX 단기채권,153130.KS,550000,2022-05-06,101212.9922,5.434084973805627,113255.0,615437,65437,0.11897689765155683
2022-05-06,gold,ACE KRX금현물,411060.KS,450000,2022-05-06,11134.6299,40.41445514903225,29715.0,1200916,750916,1.668701188341096
2022-05-06,silver,KODEX 은선물(H),144600.KS,200000,2022-05-06,4545.75,43.997140185887915,12595.0,554144,354144,1.7707199032062917
2022-05-06,equity,TIGER 미국S&P500,360750.KS,300000,2022-05-06,12681.5586,23.65639820864389,27985.0,662024,362024,1.2067476795629974
2022-06-06,cash,KODEX 단기채권,153130.KS,550000,2022-06-03,101286.4219,5.430145421454103,113255.0,614991,64991,0.11816567219415353
2022-06-06,gold,ACE KRX금현물,411060.KS,450000,2022-06-03,10829.6396,41.55262913710393,29715.0,1234736,784736,1.7438586106867628
2022-06-06,silver,KODEX 은선물(H),144600.KS,200000,2022-06-03,4535.7812,44.093837197285474,12595.0,555362,355362,1.7768093974990524
2022-06-06,equity,TIGER 미국S&P500,360750.KS,300000,2022-06-03,12480.5664,24.03737059960407,27985.0,672686,372686,1.2422860540997331
2022-07-06,cash,KODEX 단기채권,153130.KS,550000,2022-07-06,101227.6719,5.433296941563193,113255.0,615348,65348,0.11881462748498084
2022-07-06,gold,ACE KRX금현물,411060.KS,450000,2022-07-06,10759.6426,41.822950598273316,29715.0,1242769,792769,1.7617088378393149
2022-07-06,silver,KODEX 은선물(H),144600.KS,200000,2022-07-06,3808.0625,52.52014639990809,12595.0,661491,461491,2.3074562195342123
2022-07-06,equity,TIGER 미국S&P500,360750.KS,300000,2022-07-06,11997.2354,25.00576101150908,27985.0,699786,399786,1.3326207396902716
2022-08-06,cash,KODEX 단기채권,153130.KS,550000,2022-08-05,101399.0078,5.4241161907325735,113255.0,614308,64308,0.11692414396621387
2022-08-06,gold,ACE KRX금현물,411060.KS,450000,2022-08-05,10789.6416,41.706667989308684,29715.0,1239314,789314,1.7540303095606835
2022-08-06,silver,KODEX 은선물(H),144600.KS,200000,2022-08-05,4067.25,49.173274325404144,12595.0,619337,419337,2.096686950642326
2022-08-06,equity,TIGER 미국S&P500,360750.KS,300000,2022-08-05,12978.2598,23.115579855675108,27985.0,646890,346890,1.1562983408702263
2022-09-06,cash,KODEX 단기채권,153130.KS,550000,2022-09-06,101487.1172,5.419407066060032,113255.0,613775,63775,0.11595444957568879
2022-09-06,gold,ACE KRX금현물,411060.KS,450000,2022-09-06,10874.6387,41.38068524187675,29715.0,1229627,779627,1.7325045821385943
2022-09-06,silver,KODEX 은선물(H),144600.KS,200000,2022-09-06,3643.5781,54.89109692138137,12595.0,691353,491353,2.4567668286239916
2022-09-06,equity,TIGER 미국S&P500,360750.KS,300000,2022-09-06,13006.9746,23.064548752464685,27985.0,645461,345461,1.1515379894590807
2022-10-06,cash,KODEX 단기채권,153130.KS,600000,2022-10-06,101633.9609,5.903538487189053,113255.0,668605,68605,0.11434208561099357
2022-10-06,gold,ACE KRX금현물,411060.KS,500000,2022-10-06,11149.6289,44.844541841183755,29715.0,1332556,832556,1.6651111216215506
2022-10-06,silver,KODEX 은선물(H),144600.KS,150000,2022-10-06,4151.9844,36.12730358601121,12595.0,455023,305023,2.0334892577720742
2022-10-06,equity,TIGER 미국S&P500,360750.KS,250000,2022-10-06,12786.8398,19.551351471896,27985.0,547145,297145,1.1885782837640382
2022-11-06,cash,KODEX 단기채권,153130.KS,600000,2022-11-04,101712.3125,5.898990842431195,113255.0,668090,68090,0.11348367976590845
2022-11-06,gold,ACE KRX금현물,411060.KS,500000,2022-11-04,10849.6387,46.08448402029517,29715.0,1369400,869400,1.738800885326142
2022-11-06,silver,KODEX 은선물(H),144600.KS,150000,2022-11-04,3932.6719,38.14200746153021,12595.0,480399,330399,2.20265722651982
2022-11-06,equity,TIGER 미국S&P500,360750.KS,250000,2022-11-04,12742.6357,19.619174953916016,27985.0,549043,299043,1.1961704443413588
2022-12-06,cash,KODEX 단기채권,153130.KS,550000,2022-12-06,102099.0156,5.3869275490382575,113255.0,610096,60096,0.1092663264842324
2022-12-06,gold,ACE KRX금현물,411060.KS,450000,2022-12-06,10814.6406,41.61025924058387,29715.0,1236449,786449,1.7476641185198885
2022-12-06,silver,KODEX 은선물(H),144600.KS,200000,2022-12-06,4441.0781,45.034109819898745,12595.0,567205,367205,1.8360230659081234
2022-12-06,equity,TIGER 미국S&P500,360750.KS,300000,2022-12-06,12704.2412,23.614161209543166,27985.0,660842,360842,1.2028076714968847
2023-01-06,cash,KODEX 단기채권,153130.KS,550000,2023-01-06,102431.8984,5.369421131402625,113255.0,608114,58114,0.1056614367945532
2023-01-06,gold,ACE KRX금현물,411060.KS,400000,2023-01-06,10844.6396,36.88458196558261,29715.0,1096025,696025,1.7400633827682181
