date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2025-01-06,1500000,550000,400000,200000,350000,1500000,0,0.0
2025-02-06,3000000,1101394,779167,412451,753296,3046308,46308,0.01543587005927316
2025-03-06,4500000,1603837,1145859,619447,1161681,4530825,30825,0.0068499813384985675
2025-04-06,6000000,2157635,1541859,699426,1485391,5884310,-115690,-0.019281610549575445
2025-05-06,7500000,2712414,1949747,901457,2051888,7615505,115505,0.01540068628692648
2025-06-06,9000000,3268454,2225789,1118718,2623064,9236025,236025,0.02622499042268811
2025-07-06,10500000,3775252,2589525,1295677,3254684,10915138,415138,0.0395369726720336
2025-08-06,12000000,4283209,3014908,1500084,3841650,12639851,639851,0.053320885391823225
2025-09-06,13500000,4842265,3574409,1782233,4381254,14580161,1080161,0.080011912947628
2025-10-06,15000000,5352330,4327138,2324254,5091719,17095440,2095440,0.13969601936939213
2025-11-06,16500000,5863889,4831560,2573902,5671694,18941045,2441045,0.14794211139548574
2025-12-06,18000000,6376814,5547526,3397388,6346106,21667834,3667834,0.20376853274393736
2026-01-06,19500000,6891879,6148349,4750673,6808740,24599641,5099641,0.26152004361360714
2026-02-06,21000000,7457565,7215945,4726290,7321343,26721143,5721143,0.2724353869476195
2026-03-06,22500000,8023309,7953720,5433822,7626560,29037411,6537411,0.29055160036081196
2026-04-06,24000000,8592281,7816714,4938686,7918580,29266261,5266261,0.2194275571848998
2026-05-27,24000000,8625738,7544434,5234189,9000644,30405005,6405005,0.26687520526763464
