report_date,asset,amount_krw,buy_asset_date,buy_fx_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2026-01-06,cash,500000,,,,,,505344,5344,0.010687129291449216
2026-01-06,gold,350000,2026-01-06,2026-01-06,6485429.9286,0.05396712382263981,6776119.35,365688,15688,0.0448219199955302
2026-01-06,silver,150000,2026-01-06,2026-01-06,116521.2711,1.2873186032089319,116071.7935,149421,-579,-0.0038574727210196613
2026-01-06,equity,500000,2026-01-06,2026-01-06,998274.3107,0.5008643362438073,1129112.5774,565532,65532,0.13106444324665034
2026-02-06,cash,550000,,,,,,554616,4616,0.008392036955211957
2026-02-06,gold,350000,2026-02-06,2026-02-06,7242368.0857,0.048326734551284854,6776119.35,327468,-22532,-0.0643779396706432
2026-02-06,silver,150000,2026-02-06,2026-02-06,112244.1221,1.3363728731307372,116071.7935,155115,5115,0.03410130787294152
2026-02-06,equity,450000,2026-02-06,2026-02-06,1007452.9922,0.4466709647619832,1129112.5774,504342,54342,0.12075956504790786
2026-03-06,cash,550000,,,,,,553447,3447,0.006267752306636787
2026-03-06,gold,350000,2026-03-06,2026-03-06,7631563.5228,0.04586216165970729,6776119.35,310767,-39233,-0.11209291127094101
2026-03-06,silver,200000,2026-03-06,2026-03-06,124297.4545,1.6090434098361763,116071.7935,186765,-13235,-0.06617722793310543
2026-03-06,equity,400000,2026-03-06,2026-03-06,994410.3201,0.40224844001797144,1129112.5774,454184,54184,0.13545943215822676
2026-04-06,cash,550000,,,,,,552142,2142,0.003893833205013131
2026-04-06,gold,500000,2026-04-06,2026-04-06,7020358.5456,0.07122143359992097,6776119.35,482605,-17395,-0.03479013129767061
2026-04-06,silver,150000,2026-04-06,2026-04-06,109540.0952,1.369361599217786,116071.7935,158944,8944,0.05962837855626124
2026-04-06,equity,300000,2026-04-06,2026-04-06,993369.9105,0.30200230230606645,1129112.5774,340995,40995,0.13664865979046148
