scenario_slug,scenario_title,variant,variant_title,report_date,asset,label,symbol,scenario_amount_krw,reference_return,final_value_krw,profit_krw,buy_date,buy_price_krw,final_price_krw
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,cash,KODEX 단기채권,153130.KS,250000,0.21578936,303947,53947,2015-06-05,93149.3594,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,gold,KODEX 골드선물(H),132030.KS,400000,1.80441918,1121768,721768,2015-06-05,9074.9629,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,silver,KODEX 은선물(H),144600.KS,200000,2.09341075,618682,418682,2015-06-05,4047.3125,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.3150415,2154777,1504777,2015-06-05,9835.4727,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-07-06,cash,KODEX 단기채권,153130.KS,250000,0.21416574,303541,53541,2015-07-06,93273.9219,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-07-06,gold,KODEX 골드선물(H),132030.KS,400000,1.83237024,1132948,732948,2015-07-06,8985.4072,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-07-06,silver,KODEX 은선물(H),144600.KS,200000,2.21619658,643239,443239,2015-07-06,3892.7969,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-07-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.42738662,2227801,1577801,2015-07-06,9513.0791,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-08-06,cash,KODEX 단기채권,153130.KS,250000,0.21242718,303107,53107,2015-08-06,93407.6719,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-08-06,gold,KODEX 골드선물(H),132030.KS,400000,2.0520648,1220826,820826,2015-08-06,8338.6172,25450.0
