scenario_slug,scenario_title,current_regime,variant,variant_title,start,end,valuation_date,cash_amount,gold_amount,silver_amount,equity_amount,cash_symbol,gold_symbol,silver_symbol,equity_symbol,contribution_krw,final_value_krw,profit_krw,simple_return,xirr,reference_dynamic_return,reference_dynamic_xirr,excess_simple_return,excess_xirr,missing_lots
baseline,Baseline,Defensive Waiting Mode,isa_unhedged_gold_nasdaq100,ISA 금+나스닥100 환노출,2022-01-06,2026-04-06,2026-05-27,25,40,20,65,153130.KS,411060.KS,144600.KS,133690.KS,78000000,151319999,73319999,0.93999999,0.30737475,0.88901699,0.29439149,0.050983,0.01298326,0
baseline,Baseline,Defensive Waiting Mode,isa_unhedged_gold_sp500,ISA 금+S&P500 환노출,2022-01-06,2026-04-06,2026-05-27,25,40,20,65,153130.KS,411060.KS,144600.KS,360750.KS,78000000,140854654,62854654,0.8058289,0.27256652,0.77581385,0.26448575,0.03001505,0.00808077,0
baseline,Baseline,Defensive Waiting Mode,isa_max_unhedged_sp500,ISA 장기 환노출 S&P500,2020-09-06,2026-04-06,2026-05-27,25,40,20,65,153130.KS,132030.KS,144600.KS,360750.KS,102000000,186076476,84076476,0.82427918,0.20793265,0.79537883,0.2023096,0.02890034,0.00562305,0
baseline,Baseline,Defensive Waiting Mode,isa_max_unhedged_nasdaq100,ISA 장기 환노출 나스닥100,2012-03-06,2026-04-06,2026-05-27,25,40,20,65,153130.KS,132030.KS,144600.KS,133690.KS,255000000,1002241654,747241654,2.93035943,0.17512749,3.19227001,0.18295205,-0.26191058,-0.00782456,0
baseline,Baseline,Defensive Waiting Mode,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,2026-04-06,2026-05-27,25,40,20,65,153130.KS,132030.KS,144600.KS,219480.KS,196500000,406025022,209525022,1.0662851,0.12550036,1.0038243,0.12034196,0.0624608,0.0051584,0
credit_shock,Credit shock,Credit Stress,isa_unhedged_gold_nasdaq100,ISA 금+나스닥100 환노출,2022-01-06,2026-04-06,2026-05-27,55,35,20,40,153130.KS,411060.KS,144600.KS,133690.KS,78000000,135863244,57863244,0.74183646,0.25519939,0.88901699,0.29439149,-0.14718053,-0.0391921,0
credit_shock,Credit shock,Credit Stress,isa_unhedged_gold_sp500,ISA 금+S&P500 환노출,2022-01-06,2026-04-06,2026-05-27,55,35,20,40,153130.KS,411060.KS,144600.KS,360750.KS,78000000,129424985,51424985,0.65929468,0.23199224,0.77581385,0.26448575,-0.11651917,-0.03249351,0
credit_shock,Credit shock,Credit Stress,isa_max_unhedged_sp500,ISA 장기 환노출 S&P500,2020-09-06,2026-04-06,2026-05-27,55,35,20,40,153130.KS,132030.KS,144600.KS,360750.KS,102000000,168959404,66959404,0.65646475,0.17405354,0.79537883,0.2023096,-0.13891409,-0.02825606,0
credit_shock,Credit shock,Credit Stress,isa_max_unhedged_nasdaq100,ISA 장기 환노출 나스닥100,2012-03-06,2026-04-06,2026-05-27,55,35,20,40,153130.KS,132030.KS,144600.KS,133690.KS,255000000,769571938,514571938,2.01792917,0.14286849,3.19227001,0.18295205,-1.17434084,-0.04008356,0
credit_shock,Credit shock,Credit Stress,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,2026-04-06,2026-05-27,55,35,20,40,153130.KS,132030.KS,144600.KS,219480.KS,196500000,366629969,170129969,0.86580137,0.10831223,1.0038243,0.12034196,-0.13802293,-0.01202972,0
goldilocks,Goldilocks,Goldilocks,isa_unhedged_gold_nasdaq100,ISA 금+나스닥100 환노출,2022-01-06,2026-04-06,2026-05-27,30,35,15,70,153130.KS,411060.KS,144600.KS,133690.KS,78000000,147778964,69778964,0.8946021,0.29582791,0.88901699,0.29439149,0.00558512,0.00143642,0
goldilocks,Goldilocks,Goldilocks,isa_unhedged_gold_sp500,ISA 금+S&P500 환노출,2022-01-06,2026-04-06,2026-05-27,30,35,15,70,153130.KS,411060.KS,144600.KS,360750.KS,78000000,136506801,58506801,0.75008719,0.25746822,0.77581385,0.26448575,-0.02572665,-0.00701753,0
goldilocks,Goldilocks,Goldilocks,isa_max_unhedged_sp500,ISA 장기 환노출 S&P500,2020-09-06,2026-04-06,2026-05-27,30,35,15,70,153130.KS,132030.KS,144600.KS,360750.KS,102000000,181991949,79991949,0.78423479,0.20011896,0.79537883,0.2023096,-0.01114404,-0.00219064,0
goldilocks,Goldilocks,Goldilocks,isa_max_unhedged_nasdaq100,ISA 장기 환노출 나스닥100,2012-03-06,2026-04-06,2026-05-27,30,35,15,70,153130.KS,132030.KS,144600.KS,133690.KS,255000000,1024575110,769575110,3.01794161,0.17780256,3.19227001,0.18295205,-0.1743284,-0.00514949,0
goldilocks,Goldilocks,Goldilocks,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,2026-04-06,2026-05-27,30,35,15,70,153130.KS,132030.KS,144600.KS,219480.KS,196500000,394276163,197776163,1.00649447,0.12056593,1.0038243,0.12034196,0.00267017,0.00022398,0
inflation_fx_shock,Inflation/FX shock,Inflation Rebound + Dollar/KRW Risk,isa_unhedged_gold_nasdaq100,ISA 금+나스닥100 환노출,2022-01-06,2026-04-06,2026-05-27,25,50,20,55,153130.KS,411060.KS,144600.KS,133690.KS,78000000,151451689,73451689,0.94168832,0.30779982,0.88901699,0.29439149,0.05267133,0.01340833,0
inflation_fx_shock,Inflation/FX shock,Inflation Rebound + Dollar/KRW Risk,isa_unhedged_gold_sp500,ISA 금+S&P500 환노출,2022-01-06,2026-04-06,2026-05-27,25,50,20,55,153130.KS,411060.KS,144600.KS,360750.KS,78000000,142594991,64594991,0.82814091,0.27850114,0.77581385,0.26448575,0.05232706,0.01401539,0
inflation_fx_shock,Inflation/FX shock,Inflation Rebound + Dollar/KRW Risk,isa_max_unhedged_sp500,ISA 장기 환노출 S&P500,2020-09-06,2026-04-06,2026-05-27,25,50,20,55,153130.KS,132030.KS,144600.KS,360750.KS,102000000,185227899,83227899,0.81595979,0.20632246,0.79537883,0.2023096,0.02058096,0.00401286,0
inflation_fx_shock,Inflation/FX shock,Inflation Rebound + Dollar/KRW Risk,isa_max_unhedged_nasdaq100,ISA 장기 환노출 나스닥100,2012-03-06,2026-04-06,2026-05-27,25,50,20,55,153130.KS,132030.KS,144600.KS,133690.KS,255000000,931479996,676479996,2.65286273,0.16622401,3.19227001,0.18295205,-0.53940728,-0.01672804,0
inflation_fx_shock,Inflation/FX shock,Inflation Rebound + Dollar/KRW Risk,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,2026-04-06,2026-05-27,25,50,20,55,153130.KS,132030.KS,144600.KS,219480.KS,196500000,407272006,210772006,1.07263107,0.12601521,1.0038243,0.12034196,0.06880677,0.00567326,0
liquidity_bubble,Liquidity bubble,Liquidity Bubble,isa_unhedged_gold_nasdaq100,ISA 금+나스닥100 환노출,2022-01-06,2026-04-06,2026-05-27,30,35,20,65,153130.KS,411060.KS,144600.KS,133690.KS,78000000,148688996,70688996,0.90626918,0.29881719,0.88901699,0.29439149,0.01725219,0.0044257,0
liquidity_bubble,Liquidity bubble,Liquidity Bubble,isa_unhedged_gold_sp500,ISA 금+S&P500 환노출,2022-01-06,2026-04-06,2026-05-27,30,35,20,65,153130.KS,411060.KS,144600.KS,360750.KS,78000000,138224568,60224568,0.77210985,0.26348065,0.77581385,0.26448575,-0.003704,-0.00100509,0
liquidity_bubble,Liquidity bubble,Liquidity Bubble,isa_max_unhedged_sp500,ISA 장기 환노출 S&P500,2020-09-06,2026-04-06,2026-05-27,30,35,20,65,153130.KS,132030.KS,144600.KS,360750.KS,102000000,183577208,81577208,0.79977655,0.20317062,0.79537883,0.2023096,0.00439772,0.00086102,0
liquidity_bubble,Liquidity bubble,Liquidity Bubble,isa_max_unhedged_nasdaq100,ISA 장기 환노출 나스닥100,2012-03-06,2026-04-06,2026-05-27,30,35,20,65,153130.KS,132030.KS,144600.KS,133690.KS,255000000,992947389,737947389,2.89391133,0.17399598,3.19227001,0.18295205,-0.29835868,-0.00895607,0
liquidity_bubble,Liquidity bubble,Liquidity Bubble,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,2026-04-06,2026-05-27,30,35,20,65,153130.KS,132030.KS,144600.KS,219480.KS,196500000,398939601,202439601,1.03022698,0.12254289,1.0038243,0.12034196,0.02640268,0.00220094,0
