report_date,current_regime,supporting_regime,inflation_risk,liquidity_bubble_risk,credit_stress_risk,fx_risk,climate_supply_shock_risk,growth_slowdown_risk,cash_amount,gold_amount,silver_amount,equity_amount
2020-04-06,Defensive Waiting Mode,Growth Slowdown Risk,1.0,7.4,5.5,2.7,1.3,7.1,65,25,10,50
2020-05-06,Liquidity Bubble,Liquidity Bubble / Growth Slowdown Risk,1.0,7.4,4.3,2.7,1.8,5.5,55,25,10,60
2020-06-06,Liquidity Bubble,Liquidity Bubble / Growth Slowdown Risk,1.0,7.9,2.7,2.2,1.1,5.5,55,25,10,60
2020-07-06,Liquidity Bubble,Liquidity Bubble / Growth Slowdown Risk,1.0,7.9,4.2,1.3,2.2,6.0,60,20,10,60
2020-08-06,Defensive Waiting Mode,Growth Slowdown Risk,1.0,5.4,3.5,1.0,2.6,6.3,55,25,10,60
2020-09-06,Defensive Waiting Mode,Growth Slowdown Risk,1.0,5.9,3.5,1.3,2.6,6.0,55,25,10,60
2020-10-06,Defensive Waiting Mode,Growth Slowdown Risk,1.0,5.4,2.7,1.3,2.6,5.5,55,25,10,60
2020-11-06,Liquidity Bubble,Liquidity Bubble / Growth Slowdown Risk,1.0,7.9,2.7,1.0,2.6,5.5,55,25,15,55
2020-12-06,Liquidity Bubble,Liquidity Bubble / Growth Slowdown Risk,1.0,7.4,2.7,1.0,3.3,6.8,55,25,10,60
2021-01-06,Liquidity Bubble,Liquidity Bubble,1.3,7.4,1.5,1.0,3.8,4.8,55,25,15,55
2021-02-06,Liquidity Bubble,Liquidity Bubble,1.3,7.9,1.5,1.8,3.8,4.8,55,25,15,55
2021-03-06,Liquidity Bubble,Liquidity Bubble,2.8,7.9,1.5,2.4,2.2,4.8,55,25,15,55
2021-04-06,Liquidity Bubble,Liquidity Bubble,5.3,8.4,1.0,1.8,2.4,4.5,50,30,15,55
2021-05-06,Liquidity Bubble,Liquidity Bubble,5.9,8.4,1.0,1.3,2.1,4.5,50,30,15,55
2021-06-06,Liquidity Bubble,Liquidity Bubble,6.4,7.9,1.0,1.3,2.9,4.5,55,30,15,50
2021-07-06,Defensive Waiting Mode,Defensive Waiting Mode,6.5,5.9,1.0,1.8,4.4,4.1,50,40,15,45
2021-08-06,Defensive Waiting Mode,Liquidity Bubble,6.2,6.5,1.0,1.8,3.1,4.1,50,35,15,50
2021-09-06,Liquidity Bubble,Liquidity Bubble,6.2,7.9,1.0,2.4,3.1,3.4,50,35,15,50
2021-10-06,Liquidity Bubble,Liquidity Bubble,7.4,7.4,1.0,2.7,4.4,3.4,50,40,15,45
2021-11-06,Defensive Waiting Mode,Liquidity Bubble,7.4,6.4,1.0,2.7,4.3,2.7,50,40,15,45
2021-12-06,Defensive Waiting Mode,Liquidity Bubble,7.4,6.4,1.0,2.2,2.1,2.3,55,35,15,45
2022-01-06,Defensive Waiting Mode,Defensive Waiting Mode,7.9,5.9,1.0,2.2,3.4,2.6,50,40,15,45
2022-02-06,Defensive Waiting Mode,Defensive Waiting Mode,8.2,5.4,1.0,2.2,4.7,2.3,55,40,15,40
2022-03-06,Defensive Waiting Mode,Defensive Waiting Mode,8.9,4.9,1.7,2.2,6.4,2.2,55,45,20,30
2022-04-06,Defensive Waiting Mode,Defensive Waiting Mode,8.6,3.8,1.0,2.5,6.0,2.2,55,45,20,30
2022-05-06,Defensive Waiting Mode,Climate Supply Shock Risk,8.9,3.4,1.7,3.6,6.9,2.2,55,45,20,30
2022-06-06,Defensive Waiting Mode,Defensive Waiting Mode,8.9,3.4,1.0,3.0,6.2,2.2,55,45,20,30
2022-07-06,Defensive Waiting Mode,Defensive Waiting Mode,8.2,2.9,3.7,4.9,6.0,3.2,55,45,20,30
2022-08-06,Defensive Waiting Mode,Defensive Waiting Mode,8.2,2.9,2.0,3.9,3.3,3.2,55,45,20,30
2022-09-06,Defensive Waiting Mode,Defensive Waiting Mode,8.2,2.4,2.0,5.9,3.6,3.5,55,45,20,30
