scenario_slug,scenario_title,analog_rank,analog_date,distance,historical_regime,historical_supporting_regime,historical_cash,historical_gold,historical_silver,historical_equity,scenario_cash,scenario_gold,scenario_silver,scenario_equity,forward_return_1m,forward_return_3m,forward_return_6m,forward_return_12m
baseline,Baseline,1,2024-02-06,0.69,Defensive Waiting Mode,Defensive Waiting Mode,30,40,20,60,25,40,20,65,0.055577,0.12034,0.181212,0.328599
baseline,Baseline,2,2024-03-06,0.785,Defensive Waiting Mode,Defensive Waiting Mode,30,40,20,60,25,40,20,65,0.029835,0.090352,0.120618,0.307881
baseline,Baseline,3,2024-04-06,0.924,Defensive Waiting Mode,Defensive Waiting Mode,30,45,20,55,25,40,20,65,0.027827,0.077688,0.145806,0.287439
baseline,Baseline,4,2023-12-06,0.948,Defensive Waiting Mode,Defensive Waiting Mode,35,35,20,60,25,40,20,65,-0.004129,0.056251,0.152231,0.279523
baseline,Baseline,5,2024-05-06,1.0,Defensive Waiting Mode,Defensive Waiting Mode,35,40,20,55,25,40,20,65,0.031042,0.056665,0.133383,0.19399
baseline,Baseline,6,2024-11-06,1.009,Goldilocks,Defensive Waiting Mode,25,40,20,65,25,40,20,65,0.008123,0.044705,0.052504,0.373875
baseline,Baseline,7,2024-01-06,1.035,Defensive Waiting Mode,Defensive Waiting Mode,30,40,20,60,25,40,20,65,0.005021,0.093173,0.179387,0.347293
baseline,Baseline,8,2023-04-06,1.048,Defensive Waiting Mode,Defensive Waiting Mode,35,40,20,55,25,40,20,65,-0.011621,0.02007,0.029138,0.192698
inflation_fx_shock,Inflation/FX shock,1,2024-04-06,1.201,Defensive Waiting Mode,Defensive Waiting Mode,30,45,20,55,25,50,20,55,0.028748,0.076919,0.149262,0.310588
inflation_fx_shock,Inflation/FX shock,2,2025-01-06,1.371,Goldilocks,Dollar/KRW Risk,25,45,20,60,25,50,20,55,-0.007818,0.057312,0.047628,0.467266
inflation_fx_shock,Inflation/FX shock,3,2025-02-06,1.438,Defensive Waiting Mode,Defensive Waiting Mode,25,45,20,60,25,50,20,55,0.045347,0.01578,0.104593,0.497672
inflation_fx_shock,Inflation/FX shock,4,2024-03-06,1.524,Defensive Waiting Mode,Defensive Waiting Mode,30,40,20,60,25,50,20,55,0.032091,0.088951,0.119391,0.328723
inflation_fx_shock,Inflation/FX shock,5,2022-11-06,1.567,Inflation Rebound + Dollar/KRW Risk,Defensive Waiting Mode,35,50,20,45,25,50,20,55,-0.043589,-0.096618,-0.000706,0.04477
inflation_fx_shock,Inflation/FX shock,6,2023-04-06,1.58,Defensive Waiting Mode,Defensive Waiting Mode,35,40,20,55,25,50,20,55,-0.012498,0.014266,0.017935,0.185096
inflation_fx_shock,Inflation/FX shock,7,2024-02-06,1.639,Defensive Waiting Mode,Defensive Waiting Mode,30,40,20,60,25,50,20,55,0.058819,0.127163,0.188874,0.344472
inflation_fx_shock,Inflation/FX shock,8,2022-07-06,1.644,Defensive Waiting Mode,Defensive Waiting Mode,35,50,20,45,25,50,20,55,-0.030462,0.041081,0.012735,0.121019
credit_shock,Credit shock,1,2023-08-06,1.517,Defensive Waiting Mode,Defensive Waiting Mode,45,40,20,45,55,35,20,40,-0.008316,0.017668,0.053589,0.212197
credit_shock,Credit shock,2,2023-07-06,1.54,Defensive Waiting Mode,Defensive Waiting Mode,45,40,20,45,55,35,20,40,-0.000558,0.001502,0.048823,0.20345
credit_shock,Credit shock,3,2023-09-06,1.779,Defensive Waiting Mode,Defensive Waiting Mode,40,45,20,45,55,35,20,40,0.010299,0.061598,0.111953,0.222829
