date,country,central_bank,series,rate_pct,rate_lower_pct,rate_upper_pct,rate_mid_pct,frequency,unit,source,source_url,note
1999-05-06,Korea,Bank of Korea,base_rate,4.75,4.75,4.75,4.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2000-02-10,Korea,Bank of Korea,base_rate,5.0,5.0,5.0,5.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2000-10-05,Korea,Bank of Korea,base_rate,5.25,5.25,5.25,5.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2001-02-08,Korea,Bank of Korea,base_rate,5.0,5.0,5.0,5.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2001-07-05,Korea,Bank of Korea,base_rate,4.75,4.75,4.75,4.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2001-08-09,Korea,Bank of Korea,base_rate,4.5,4.5,4.5,4.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2001-09-19,Korea,Bank of Korea,base_rate,4.0,4.0,4.0,4.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2002-05-07,Korea,Bank of Korea,base_rate,4.25,4.25,4.25,4.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2003-05-13,Korea,Bank of Korea,base_rate,4.0,4.0,4.0,4.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2003-07-10,Korea,Bank of Korea,base_rate,3.75,3.75,3.75,3.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
